Mot,Poids
be,0.3920607432629525
you,0.37330055513178484
le,0.3152527266389691
être,0.2493201813953727
the,0.21370301262460517
to,0.1998367866146117
je,0.19426310753216336
un,0.17944527777638603
de,0.16258829713678613
pa,0.1477704673810088
it,0.14505159953591204
on,0.14409999579012817
tu,0.14178895812179593
and,0.11215329861024126
that,0.10821094023485096
que,0.1004621668763252
we,0.0954322613628962
have,0.09162584637976073
ce,0.08659594086633174
of,0.08306141266770595
eat,0.08170197874515757
il,0.0757204694859447
ca,0.07490480913241568
in,0.07490480913241568
what,0.07449697895565116
en,0.07395320538663182
aller,0.07123433754153506
do,0.07096245075702538
faire,0.069603016834477
this,0.06837952630418347
for,0.06647631881261573
vous,0.06525282828232219
ne,0.06199018686820608
get,0.0606307529456577
pour,0.058183771885070616
not,0.05696028135477708
go,0.05655245117801257
avoir,0.05628056439350289
know,0.05437735690193516
son,0.05424141350968032
qu,0.052338206018112586
just,0.0516584890568384
susan,0.050706885311054536
don,0.05029905513429002
as,0.05016311174203518
your,0.04812396085821261
no,0.04785207407370294
my,0.04717235711242875
he,0.046764526935664234
with,0.045948866582135206
janet,0.044861319444096506
moi,0.04472537605184167
will,0.04350188552154813
vouloir,0.04282216856027394
oh,0.0426862251680191
all,0.04241433838350942
can,0.04241433838350942
tout,0.04241433838350942
so,0.040783017676451365
bien,0.039559527146157826
well,0.03887981018488364
want,0.0387438667926288
bruce,0.03860792340037396
pouvoir,0.03820009322360945
roger,0.03752037626233526
about,0.03711254608557075
uh,0.03616094233978688
good,0.03548122537851269
up,0.03548122537851269
yes,0.03520933859400301
think,0.03466556502498366
savoir,0.034529621632728824
at,0.034257734848219146
qui,0.034257734848219146
avec,0.033849904671454635
right,0.033849904671454635
si,0.033306131102435285
toi,0.033170187710180446
like,0.03289830092567077
out,0.03289830092567077
ton,0.03249047074890626
elle,0.03235452735665142
mais,0.03126698021861272
du,0.03099509343410304
plus,0.0308591500418482
if,0.030723206649593365
one,0.030723206649593365
she,0.030587263257338525
here,0.03031537647282885
they,0.030043489688319176
