Mot,Poids
you,0.3742499181506674
be,0.35337058441018254
le,0.31391835495868503
être,0.23489250458045455
the,0.2108569924838499
je,0.1716475459828231
to,0.17091919713141085
un,0.16582075517152503
de,0.15149656109375054
it,0.14712646798527695
he,0.1443344640548633
que,0.14093550274827274
pa,0.13862906471880057
tu,0.13862906471880057
on,0.13122418472944258
that,0.12976748702661806
il,0.12296956441343693
what,0.10876676181089782
ce,0.09917683526730303
we,0.09116499790176816
tommy,0.0909222149512974
ca,0.08922273429800212
jimmy,0.08837299397135448
get,0.0871590792190007
do,0.0866735133180592
and,0.08606655594188231
aller,0.08570238151617618
eat,0.0808467225067611
faire,0.08048254808105497
of,0.07659802087352291
qu,0.0761124549725814
know,0.07392740841834461
have,0.0713781874384017
avoir,0.0698000982603418
this,0.06688670285469274
vous,0.06385191597380832
en,0.06203104384527766
in,0.06105991204339465
vouloir,0.06045295466721776
don,0.059481822865334745
go,0.0565684274596857
kevin,0.05329085762833052
son,0.05304807467785976
savoir,0.05268390025215363
pour,0.052441117301682875
for,0.05195555140074137
ne,0.05086302812362298
no,0.05025607074744609
gonna,0.047221283866561665
yes,0.04697850091609091
with,0.046371543539914024
my,0.04515762878756026
as,0.044914845837089504
your,0.04455067141138337
pouvoir,0.04430788846091262
qui,0.04406510551044186
right,0.04321536518379422
all,0.042487016332381965
tout,0.042487016332381965
not,0.042001450431440455
will,0.04127310158002819
here,0.040666144203851305
moi,0.04054475272861593
out,0.04054475272861593
they,0.04054475272861593
want,0.039816403877203664
quoi,0.03848109764961452
dokey,0.036903008471554616
just,0.036538834045848484
can,0.03617465962014236
okay,0.03617465962014236
about,0.035931876669671604
but,0.03483935339255321
tell,0.03471796191731783
si,0.034111004541140945
hey,0.03398961306590557
mais,0.03350404716496406
ton,0.033261264214493304
good,0.032168740937374915
up,0.032168740937374915
non,0.03204734946213954
ou,0.03204734946213954
come,0.03192595798690416
there,0.03180456651166878
avec,0.031683175036433406
bien,0.030590651759315014
like,0.03022647733360888
toi,0.029740911432667372
how,0.029255345531725863
etait,0.028526996680313603
say,0.028526996680313603
if,0.027920039304136716
so,0.02779864782890134
now,0.027313081927959833
huey,0.026827516027018324
his,0.025977775700370687
sean,0.0253708183241938
joey,0.025128035373723046
plus,0.025006643898487668
make,0.02488525242325229
dans,0.024642469472781536
du,0.024399686522310785
oh,0.024035512096604653
voir,0.023914120621369276
guy,0.023428554720427767
lui,0.023428554720427767
see,0.023428554720427767
ouais,0.02330716324519239
back,0.023064380294721635
money,0.022700205869015506
think,0.022700205869015506
who,0.022457422918544752
take,0.022336031443309375
dire,0.022214639968073997
mon,0.021850465542367865
