Mot,Poids
be,0.3888942658602388
le,0.3294122269853722
you,0.3272207834478771
the,0.2374411680466896
un,0.21420490958563063
être,0.21076121259813835
vous,0.18780323268152316
de,0.17935052189404213
to,0.17072388701628372
je,0.1518705156302149
it,0.1464440840135604
il,0.1430351718441236
he,0.14080894348857304
that,0.13753917059135815
on,0.13395633433164397
pa,0.1228947621900021
and,0.11332893722474578
ne,0.1097461009650316
son,0.10063247863449648
eat,0.09718878164700422
have,0.09659743974006109
do,0.09506690774562009
we,0.09374508465951194
of,0.08901434940396699
avoir,0.08487495605536517
in,0.07683966308454986
what,0.07621353635955126
que,0.0749264980914986
ce,0.07343075091511306
ca,0.0667172810304059
en,0.06556938203457514
this,0.06341272331513553
no,0.06149955832208427
faire,0.05822978542486938
know,0.058090646152647474
she,0.056177481159596206
tu,0.05475130361932163
pour,0.054125176894323036
get,0.054055607258212075
your,0.05398603762210112
elle,0.05391646798599017
for,0.05189894853877247
aller,0.04935965682072261
qu,0.048316112279058285
with,0.04741170700961587
not,0.04282011102629284
yes,0.04177656648462851
don,0.040906946033241576
du,0.040872161215186095
but,0.04059388267074227
so,0.04014168003602107
her,0.03979383185546629
mais,0.03979383185546629
will,0.03927205958463413
they,0.038332869497136234
etait,0.038193730224914325
my,0.03756760349991573
pouvoir,0.03687190713880618
tout,0.036663198230473315
can,0.03617621077769663
just,0.03617621077769663
qui,0.035689223324919944
go,0.03558486887075351
there,0.035480514416587075
bien,0.034958742145754916
savoir,0.03429783060270084
sur,0.03412390651242345
about,0.033428210151313906
good,0.03311514678881461
moi,0.03311514678881461
like,0.032976007516592694
all,0.03255858969992696
vouloir,0.032454235245760535
here,0.03231509597353862
right,0.032280311155483146
si,0.031862893338817415
say,0.03154982997631812
ou,0.031062842523541433
as,0.03026279170826545
dans,0.0295670953471559
voir,0.0295670953471559
avec,0.029184462348545645
if,0.028662690077713483
out,0.028175702624936797
non,0.027897424080492977
want,0.02758436071799368
tell,0.02730608217354986
at,0.026575600994384833
his,0.026123398359663624
how,0.025601626088831462
up,0.025392917180498596
see,0.025149423454110253
quoi,0.0247667904555
jane,0.02375803073189115
lui,0.023584106641613763
au,0.02323625846105899
plus,0.023166688824948035
nous,0.02295797991661517
who,0.022470992463838484
didn,0.022401422827727526
well,0.022401422827727526
why,0.022192713919394664
rien,0.021984005011061798
look,0.02194922019300632
oui,0.021844865738839887
oh,0.02181008092078441
etre,0.0216709416485625
come,0.021497017558285113
now,0.021010030105508427
dire,0.020731751561064608
one,0.020453473016620788
okay,0.0202795489263434
make,0.020209979290232445
dit,0.01982734629162219
think,0.019757776655511237
gonna,0.01968820701940028
would,0.019653422201344802
from,0.019375143656900982
pourquoi,0.019340358838845505
take,0.01902729547634621
let,0.018888156204124297
kill,0.018609877659680477
mon,0.018227244661070223
uh,0.017948966116626403
thank,0.017914181298570926
etes,0.017670687572182583
merci,0.017496763481905195
or,0.017461978663849718
se,0.017218484937461375
time,0.016696712666629213
need,0.016557573394407304
devoir,0.01645321894024087
lisbon,0.015792307397186796
work,0.01561838330690941
ici,0.015409674398576545
call,0.015305319944410112
when,0.015027041399966292
comme,0.014992256581910814
could,0.014957471763855337
where,0.014887902127744383
agent,0.014679193219411517
comment,0.013983496858301966
back,0.013913927222191012
mama,0.013879142404135533
thing,0.013566079041636236
man,0.013531294223580759
very,0.013531294223580759
aimer,0.013461724587469803
parler,0.013148661224970505
tres,0.013044306770804074
choose,0.012870382680526685
bon,0.01252253449997191
sure,0.012279040773583567
par,0.01224425595552809
quand,0.012070331865250703
some,0.012000762229139747
sorry,0.01196597741108427
venir,0.011931192593028791
way,0.011861622956917837
ton,0.01182683813886236
trouver,0.01182683813886236
guy,0.011583344412474017
people,0.011513774776363062
then,0.011513774776363062
mort,0.011478989958307585
alors,0.011339850686085675
red,0.011305065868030196
prendre,0.011096356959697332
question,0.011026787323586376
talk,0.011026787323586376
toi,0.01095721768747542
maybe,0.010922432869419943
any,0.01053979987080969
try,0.010505015052754214
tue,0.010365875780532304
nothing,0.010296306144421348
really,0.010296306144421348
penser,0.010261521326365871
croire,0.010226736508310394
rigsby,0.010191951690254915
something,0.010191951690254915
vraiment,0.010122382054143961
down,0.010087597236088482
anything,0.010052812418033005
cho,0.009948457963866572
too,0.00984410350970014
john,0.009809318691644663
autre,0.00970496423747823
give,0.00970496423747823
name,0.00970496423747823
mean,0.009600609783311797
cbi,0.00956582496525632
quelque,0.009531040147200843
by,0.009496255329145366
ete,0.009461470511089887
mr,0.009461470511089887
quel,0.009357116056923454
little,0.009322331238867977
night,0.0092875464208125
femme,0.009252761602757023
never,0.009183191966646067
help,0.009044052694424157
more,0.008835343786091292
because,0.008800558968035815
meme,0.008765774149980338
off,0.008661419695813905
est,0.008626634877758426
san,0.008522280423591995
accord,0.008348356333314606
vrai,0.008348356333314606
find,0.00831357151525913
our,0.00831357151525913
money,0.008278786697203652
love,0.008244001879148173
personne,0.008244001879148173
car,0.00817443224303722
peu,0.00817443224303722
keep,0.007965723334704354
police,0.007965723334704354
van,0.007965723334704354
donc,0.007896153698593398
much,0.007896153698593398
hear,0.007861368880537921
jamais,0.007861368880537921
quelqu,0.007861368880537921
over,0.007826584062482444
please,0.007791799244426966
case,0.007722229608316011
affaire,0.007687444790260534
murder,0.007617875154149578
parle,0.007548305518038623
found,0.007513520699983146
peut,0.007513520699983146
last,0.007443951063872191
pelt,0.007409166245816713
put,0.007409166245816713
two,0.007339596609705758
doing,0.0073048117916502805
hey,0.0072700269735948035
deux,0.007165672519428371
juste,0.007165672519428371
kind,0.007165672519428371
aussi,0.007130887701372893
happen,0.007130887701372893
year,0.006991748429150983
day,0.006852609156929073
before,0.006817824338873595
doesn,0.006817824338873595
temp,0.006817824338873595
into,0.00674825470276264
around,0.00660911543054073
friend,0.006574330612485252
vie,0.006574330612485252
arrive,0.00646997615831882
guess,0.00646997615831882
should,0.00646997615831882
life,0.0064351913402633425
place,0.0064351913402633425
tuer,0.0064351913402633425
argent,0.0064004065222078655
nom,0.0064004065222078655
lot,0.00633083688609691
only,0.00633083688609691
chez,0.006296052068041433
mal,0.006261267249985955
meurtre,0.006261267249985955
passe,0.006226482431930478
still,0.006226482431930478
doit,0.006156912795819523
falloir,0.006156912795819523
lie,0.006156912795819523
patrick,0.006156912795819523
nice,0.006122127977764045
ask,0.006087343159708567
someone,0.006087343159708567
woman,0.006087343159708567
depuis,0.00605255834165309
encore,0.00605255834165309
first,0.00605255834165309
use,0.00605255834165309
problem,0.006017773523597612
desole,0.005982988705542135
die,0.005982988705542135
homme,0.005982988705542135
thought,0.005982988705542135
appeler,0.005948203887486657
hand,0.005948203887486657
hello,0.005948203887486657
wait,0.005948203887486657
house,0.00591341906943118
long,0.005878634251375702
nuit,0.005878634251375702
dead,0.005843849433320224
maintenant,0.005843849433320224
cause,0.005739494979153792
apres,0.005704710161098314
kid,0.005704710161098314
meet,0.005704710161098314
ami,0.005669925343042837
check,0.005669925343042837
wasn,0.005669925343042837
bureau,0.005635140524987359
minute,0.005635140524987359
stop,0.005635140524987359
leave,0.0056003557069318815
after,0.0055655708888764045
avant,0.0055655708888764045
ago,0.005530786070820927
wrong,0.005530786070820927
10,0.0054960012527654496
excuse,0.0054960012527654496
aux,0.005461216434709972
bad,0.005426431616654495
besoin,0.00535686198054354
crime,0.00535686198054354
mind,0.00535686198054354
talke,0.00535686198054354
believe,0.005322077162488062
even,0.005322077162488062
trop,0.005322077162488062
other,0.005287292344432584
aider,0.005252507526377107
aucun,0.005252507526377107
essayer,0.005252507526377107
main,0.005252507526377107
travail,0.005252507526377107
jim,0.005182937890266152
understand,0.005148153072210674
wouldn,0.005113368254155197
arme,0.005078583436099719
away,0.005078583436099719
fille,0.005078583436099719
mere,0.005078583436099719
dis,0.005043798618044241
jour,0.005043798618044241
suspect,0.005043798618044241
close,0.005009013799988764
avez,0.004974228981933286
comprendre,0.004974228981933286
etais,0.004974228981933286
wend,0.004974228981933286
left,0.004939444163877809
toujours,0.004939444163877809
font,0.004904659345822331
gen,0.004904659345822331
must,0.004869874527766854
bonne,0.004835089709711376
else,0.004835089709711376
million,0.004835089709711376
moment,0.004835089709711376
job,0.0048003048916558985
real,0.0048003048916558985
boss,0.004765520073600421
course,0.004765520073600421
voiler,0.004765520073600421
feel,0.0047307352555449435
fois,0.0046959504374894665
husband,0.004661165619433989
pere,0.004661165619433989
raison,0.004661165619433989
celui,0.0046263808013785115
their,0.0046263808013785115
fine,0.004591595983323034
run,0.004591595983323034
isn,0.004556811165267556
stay,0.004556811165267556
gun,0.004487241529156601
move,0.004487241529156601
wife,0.004487241529156601
demande,0.004452456711101124
etiez,0.004452456711101124
pay,0.004452456711101124
truc,0.004452456711101124
beaucoup,0.004417671893045646
connaître,0.004417671893045646
month,0.004417671893045646
dr,0.004382887074990169
partir,0.004382887074990169
room,0.004382887074990169
