Mot,Poids
be,0.3942328427732143
ne,0.36634178047499705
le,0.30654417980042914
être,0.27376856042921194
je,0.2624705074959468
you,0.229204018303555
tu,0.19592143501866563
de,0.19162431232182547
un,0.1864661556763675
pa,0.16273541628876145
que,0.1616893002764221
to,0.1227496434786514
the,0.11458189153615558
eat,0.11457384448990682
ce,0.11265864748270091
on,0.10178708800062027
il,0.09803716444869608
it,0.09447232296049347
aller,0.09291924303448196
ca,0.08335130504470115
faire,0.08093719117007184
that,0.07161066456775396
and,0.06806996421829764
qu,0.06780441169208841
en,0.06766761190585942
pour,0.06556733283493192
have,0.06084371668690725
avoir,0.05772146274238668
pouvoir,0.056079865307638754
we,0.0551222668040358
vous,0.0540600566991989
vouloir,0.054027868514203846
savoir,0.05168617805581342
he,0.049931921973582795
what,0.04982731037234886
tout,0.04935253464367176
bien,0.0493203464586767
do,0.04824204226134228
as,0.04785578404140159
of,0.0467935739365647
son,0.04669700938157952
moi,0.04647169208661412
elle,0.045787693155469156
oh,0.043977107749497174
know,0.04281833308967511
mais,0.04260910988720724
si,0.04129744134865865
in,0.041056029961195714
this,0.040959465406210545
non,0.04037203103005074
get,0.040106478503841525
go,0.037853305554187505
ton,0.037853305554187505
avec,0.03773259986045604
my,0.03752337665798817
ryan,0.03732220050176906
yes,0.03716930662304253
no,0.03625999039693216
so,0.035672556020772364
just,0.035511615095797075
for,0.034956368904632336
not,0.03449768726845277
etre,0.03404705267852197
hey,0.033918299938541736
qui,0.0335883710423424
toi,0.03253420798375427
don,0.03167317403513648
mon,0.029918917952905855
will,0.029846494536666976
voir,0.029790165212925625
your,0.029492424501721345
devoir,0.029347577669243584
plus,0.02911421332802942
with,0.028937178310556602
dans,0.02863139055310356
but,0.0285992023681085
dire,0.02834169688814804
oui,0.027883015251968474
au,0.027641603864505544
well,0.02763355681825678
can,0.027359957245798792
du,0.027343863153301264
okay,0.026828852193380343
summer,0.02613680621598661
she,0.026096570984742787
quoi,0.025678124579807043
sur,0.02502631383365713
ou,0.02493779632492072
nous,0.024302079671268337
all,0.02347323390764561
about,0.02323182252018268
like,0.023127210918948742
penser,0.023046740456461098
marissa,0.022885799531485812
seth,0.02273290565275929
right,0.022209847646589606
est,0.02193624807413162
lui,0.021815542380400153
etait,0.02150975462294711
alors,0.021372954836718114
se,0.020970602524279895
mama,0.020817708645553375
good,0.02075333227556326
venir,0.020423403379363922
want,0.020246368361891105
juste,0.020173944945652226
here,0.019731357401970188
ok,0.01955432238449737
vraiment,0.019465804875760963
if,0.019272675765790618
out,0.019264628719541856
comme,0.019176111210805445
choose,0.018645006158387
dit,0.018628912065889472
croire,0.01837140658592901
her,0.01814608929096361
up,0.017856395626008093
think,0.017824207441013037
there,0.017309196481092116
merci,0.017083879186126714
see,0.016858561891161312
cohen,0.016826373706166256
say,0.016810279613668728
they,0.01653668004121074
aimer,0.01629526865374781
rien,0.015941198618802176
at,0.015884869295060826
gonna,0.01572392837008554
ouais,0.01565150495384666
come,0.01553884630636396
how,0.015377905381388673
ici,0.015128446947676979
sandy,0.014967506022701691
parler,0.014887035560214049
pourquoi,0.014830706236472698
tell,0.014830706236472698
look,0.01450077734027336
julie,0.014460542109029537
bon,0.014283507091556721
quand,0.014106472074083906
really,0.014106472074083906
now,0.013712166807894452
quelque,0.013221296986719828
passe,0.013173014709227241
comment,0.01313277947798342
tres,0.013028167876749482
prendre,0.01300402673800319
make,0.012231510298121813
one,0.012151039835634168
meme,0.012110804604390348
thank,0.012086663465644054
aussi,0.012070569373146526
guy,0.011982051864410117
salut,0.011829157985683595
maintenant,0.011491182043235492
kirsten,0.011475087950737964
peu,0.01145094681199167
besoin,0.011442899765742906
pere,0.011378523395752791
back,0.011161253147036154
parce,0.011096876777046039
need,0.010871559482080637
could,0.010815230158339286
why,0.010799136065841758
mean,0.010734759695851644
mere,0.010597959909622649
taylor,0.010501395354637478
par,0.010420924892149833
jamais,0.010364595568408482
sorry,0.010074901903452966
time,0.010074901903452966
temp,0.010050760764706674
autre,0.010026619625960381
let,0.010018572579711615
or,0.009527702758536991
peut,0.009479420481044405
etais,0.009447232296049348
thing,0.009390902972307998
hello,0.009254103186079003
some,0.009205820908586416
didn,0.009189726816088888
soir,0.00915753863109383
when,0.009149491584845066
sure,0.009077068168606187
should,0.009069021122357423
fille,0.009052927029859895
who,0.009020738844864836
parle,0.00897245656737225
ecoute,0.008924174289879664
would,0.008883939058635843
take,0.008867844966138313
donc,0.008851750873640785
toujours,0.008851750873640785
ami,0.008835656781143257
accord,0.008827609734894493
deux,0.008795421549899434
doing,0.008739092226158084
call,0.008714951087411792
from,0.008642527671172913
talk,0.008513774931192682
desole,0.008473539699948861
because,0.008441351514953803
love,0.008368928098714925
trouver,0.008352834006217396
seul,0.008240175358734695
maison,0.008143610803749523
too,0.008127516711251994
newport,0.00811946966500323
dis,0.008071187387510644
little,0.007910246462535356
work,0.007886105323789062
his,0.007878058277540298
essayer,0.007837823046296478
mom,0.007701023260067484
something,0.007652740982574897
encore,0.00762055279757984
trop,0.007540082335092196
maybe,0.007507894150097139
then,0.0074596118726045525
bonne,0.007427423687609495
uh,0.007379141410116909
ete,0.007371094363868145
avant,0.007322812086375558
vie,0.007290623901380501
arrive,0.007282576855131737
man,0.007282576855131737
san,0.007258435716385444
where,0.007218200485141622
appeler,0.007105541837658921
falloir,0.006968742051429927
apres,0.006920459773937342
fete,0.006880224542693519
chez,0.00669514247897194
cooper,0.006662954293976882
vrai,0.006646860201479353
fois,0.006638813155230589
great,0.00662271906273306
dad,0.006590530877738003
dieu,0.006582483831489239
mec,0.0065583426927429455
ensemble,0.006453731091509009
thought,0.00643763699901148
our,0.006421542906513951
more,0.006373260629021366
way,0.006373260629021366
moment,0.0063330253977775435
quel,0.0063330253977775435
personne,0.006324978351528779
over,0.006212319704046078
caleb,0.006204272657797314
luke,0.006147943334055964
chance,0.006131849241558435
by,0.0061157551490609065
try,0.006091614010314613
night,0.006083566964065849
quelqu,0.006051378779070791
laisse,0.005987002409080676
never,0.005962861270334383
petit,0.005962861270334383
attend,0.005938720131588091
give,0.005930673085339326
god,0.005930673085339326
jimmy,0.005922626039090562
beaucoup,0.005898484900344269
passer,0.005866296715349211
friend,0.005850202622851683
serum,0.005809967391607861
super,0.0057777792066128035
kaitlin,0.005761685114115274
home,0.005721449882871453
mieux,0.00569730874412516
wait,0.005657073512881338
wanna,0.005649026466632574
monde,0.005640979420383809
deja,0.005576603050393695
off,0.005504179634154816
even,0.005496132587906051
year,0.005496132587906051
air,0.0054478503104134655
meet,0.005423709171667172
help,0.005415662125418407
famille,0.005407615079169643
desolee,0.005391520986672115
kind,0.00538347394042335
sortir,0.005367379847925822
happen,0.005286909385438178
grand,0.005270815292940649
part,0.005262768246691885
last,0.0052144859691992985
euh,0.005117921414214127
depuis,0.0051098743679653625
day,0.0050937802754678334
moins,0.0050937802754678334
aider,0.005085733229219069
plan,0.005077686182970305
rester,0.005077686182970305
jour,0.00506963913672154
fine,0.005061592090472776
partir,0.005053545044224012
parent,0.005021356859228955
entre,0.0049811216279851325
travail,0.004973074581736368
etes,0.004965027535487604
talke,0.00495698048923884
everything,0.004892604119248725
truc,0.0048845570729999606
much,0.0048765100267511964
new,0.0048765100267511964
anything,0.00482822774925861
feel,0.004796039564263553
place,0.004779945471766024
girl,0.004747757286770966
demain,0.004731663194273438
guess,0.004699475009278381
two,0.004683380916780852
mal,0.0046672868242833235
suppose,0.004659239778034559
minute,0.00464314568553703
nouveau,0.004635098639288265
idee,0.004619004546790737
eh,0.004610957500541973
femme,0.004602910454293208
