Mot,Poids
be,0.44037197233304365
you,0.32102941041270977
le,0.3146703318372221
the,0.2770939584366132
to,0.20073876768657592
être,0.19641459425524432
un,0.19303850162971267
de,0.17368377883813751
vous,0.1595088145953232
je,0.15432905604656233
it,0.14276709500022114
he,0.1335175261631482
on,0.12399047026096303
that,0.12135434314239724
pa,0.10884430129025606
ne,0.1073412463542317
and,0.10304019684499278
have,0.10144464622059769
of,0.09790668614041728
son,0.0949930719567393
will,0.0914551118765589
jarod,0.08870336514752969
in,0.08576662704175902
this,0.08195117989646643
il,0.07922255708952991
que,0.07878320256976894
what,0.07762700646513482
do,0.07637831467212997
we,0.07390405500821295
ce,0.07274785890357884
avoir,0.07145291926638862
eat,0.0680537027187643
my,0.06546382344438388
ca,0.06368328144324734
your,0.059798462531676685
know,0.05848039897239379
for,0.0583416554398377
en,0.056746104815442615
get,0.055613032632901176
faire,0.05230631177364759
pour,0.048907095226023274
they,0.047704651277203795
don,0.046594703016755036
qu,0.04590098535397456
no,0.045322887301657504
tu,0.04516101984700873
can,0.04176180329938441
but,0.0404668636621942
here,0.04025874836336006
qui,0.03975002207732105
moi,0.039033180492447896
there,0.03894068480407716
with,0.038894436959891796
go,0.03845508244013083
aller,0.03753012555642354
not,0.03750700163433086
out,0.03706764711456989
du,0.03621206199714064
just,0.03618893807504796
about,0.03611956630876991
all,0.03373780233322362
mais,0.03292846505997974
like,0.03262785407277487
want,0.03223474739719927
vouloir,0.03195726033208708
dans,0.031726021111160255
savoir,0.031055427370472465
tout,0.030014850876301756
mon,0.029806735577467616
up,0.029806735577467616
pouvoir,0.029529248512355426
elle,0.029321133213521283
so,0.029298009291428603
one,0.029113017914687143
as,0.02908989399259446
she,0.028904902615853
his,0.028673663394926177
parker,0.02802619357633107
yes,0.027517467290292058
well,0.02737872375773596
who,0.026592510406584762
au,0.026500014718214032
see,0.026430642951935986
if,0.026361271185657936
sur,0.026268775497287206
man,0.02589879274380429
ou,0.025783173133340876
oh,0.025482562146136006
her,0.02541319037985796
tell,0.024973835860096993
etait,0.024881340171726263
now,0.02458072918452139
voir,0.02458072918452139
say,0.02428011819731652
si,0.02428011819731652
from,0.024164498586853107
how,0.023956383288018968
come,0.023840763677555554
at,0.023632648378721414
good,0.02323954170314581
miss,0.02261519580664339
right,0.022568947962458022
sydney,0.021875230299677553
take,0.021227760481082443
look,0.020580290662487337
plus,0.020487794974116607
make,0.020094688298541007
mama,0.01956283809040931
think,0.019493466324131264
centre,0.019215979259019075
etre,0.01907723572646298
avec,0.018822872583443475
lui,0.01856850944042397
time,0.018337270219497145
why,0.01819852668694105
where,0.01799041138810691
when,0.017828543933458132
let,0.01762042863462399
would,0.01752793294625326
nous,0.017088578426492293
mr,0.01664922390673133
etes,0.016417984685804504
comme,0.015839886633487444
back,0.01570114310093135
se,0.015654895256745984
ton,0.015539275646282573
rainer,0.015446779957911844
trouver,0.01512304504861429
bien,0.014961177593965513
help,0.014961177593965513
never,0.014938053671872831
pere,0.01472993837303869
broots,0.0144524513079265
gonna,0.0144524513079265
something,0.014267459931185042
find,0.014244336009092359
didn,0.014151840320721629
little,0.014151840320721629
call,0.014128716398628947
need,0.014013096788165536
quoi,0.013989972866072852
mort,0.013897477177702122
devoir,0.01387435325560944
could,0.013851229333516757
father,0.013643114034682616
ici,0.01359686619049725
rien,0.01348124658003384
kill,0.013342503047477746
pourquoi,0.013342503047477746
thing,0.013342503047477746
dit,0.013203759514921651
some,0.013134387748643603
uh,0.012972520293994826
or,0.012671909306789955
dire,0.012486917930048497
way,0.012209430864936307
okay,0.012163183020750944
our,0.012116935176565579
choose,0.012070687332380214
give,0.01204756341028753
down,0.012024439488194849
venir,0.0119550677219168
thank,0.011816324189360707
est,0.011631332812619247
only,0.011538837124248517
work,0.011515713202155836
people,0.011492589280063152
hey,0.01135384574750706
par,0.011284473981229011
non,0.01126135005913633
lyle,0.011238226137043646
try,0.011238226137043646
autre,0.011145730448672918
then,0.01107635868239487
life,0.010960739071931458
comment,0.010868243383560728
over,0.010637004162633905
quand,0.010637004162633905
vie,0.010637004162633905
dr,0.010521384552170492
very,0.01049826063007781
place,0.010475136707985128
more,0.010428888863799763
mere,0.010382641019614398
croire,0.010197649642872939
by,0.010151401798687574
die,0.010151401798687574
toi,0.01001265826613148
jamais,0.009873914733575385
day,0.00982766688939002
any,0.009781419045204656
name,0.009758295123111974
falloir,0.009688923356833926
mother,0.009665799434741244
too,0.00955017982427783
