Mot,Poids
be,0.40210652218712145
you,0.3670830831062257
le,0.2838536632859234
être,0.24508607036119023
je,0.2070205062821766
un,0.19282392295762643
the,0.1868176761664706
de,0.17566321784003833
to,0.16809690694728358
pa,0.14212183965566155
it,0.1368956249153052
on,0.13666161530006535
tu,0.12581916979395286
que,0.11716081403007884
vous,0.11630277877419944
that,0.11552274672339997
we,0.10936049352208425
ne,0.10678638775444603
il,0.10460229801220755
ce,0.10054613134805035
and,0.093837855711175
he,0.09305782366037554
what,0.08970368584193786
eat,0.08939167302161809
do,0.08861164097081863
get,0.08354143264062214
of,0.0833074230253823
aller,0.07995328520694461
have,0.0785492275155056
in,0.07480507367166818
ca,0.07379103200562889
faire,0.07090491341767088
son,0.06723876277891343
know,0.06716075957383348
en,0.06677074354843375
this,0.06326059931983619
don,0.06209055124363699
my,0.061856541628397155
qu,0.05897042304043915
doug,0.05889241983535921
avoir,0.05709834611852045
your,0.05444623714580229
no,0.054134224325482504
vouloir,0.05405622112040256
just,0.04961003843084564
pour,0.04945403202068575
for,0.048283983944486554
tout,0.04750395189368709
not,0.04563187497176839
savoir,0.044695836510809044
all,0.043213775614290066
want,0.04297976599905023
oh,0.04266775317873044
pouvoir,0.04212173074317083
go,0.041965724333010934
here,0.0415757083076112
as,0.04141970189745131
so,0.03853358330949331
can,0.03845558010441336
gonna,0.03814356728409358
bien,0.03728553202821417
they,0.035881474336775146
moi,0.035725467926615254
will,0.03471142626057595
yes,0.03330736856913693
mon,0.032995355748817144
well,0.03283934933865725
about,0.03252733651833747
dans,0.03252733651833747
rich,0.03198131408277785
wayne,0.03174730446753801
right,0.03159129805737812
like,0.031123278826898443
elle,0.03096727241673855
qui,0.030889269211658604
with,0.030733262801498712
she,0.03057725639133882
nous,0.030499253186258873
good,0.030421249981178927
quoi,0.03018724036593909
there,0.029719221135459415
non,0.029329205110059684
du,0.029095195494819846
ou,0.028705179469420118
come,0.028549173059260226
out,0.028159157033860495
up,0.027769141008460764
si,0.027691137803380818
ton,0.02761313459830087
okay,0.027223118572901144
pete,0.026989108957661306
think,0.02628708011194179
mais,0.026209076906861847
sur,0.026053070496701955
now,0.025585051266222278
mama,0.0251170320357426
how,0.024961025625582712
etre,0.024727016010342873
plus,0.02441500319002309
but,0.02379097754938352
avec,0.023556967934143684
dire,0.023322958318903846
shit,0.022542926268104384
hugh,0.02230891665286455
if,0.02230891665286455
est,0.02207490703762471
say,0.021996903832544764
devoir,0.021528884602065087
tell,0.021528884602065087
voir,0.021138868576665356
lui,0.020982862166505467
look,0.02074885255126563
au,0.019968820500466167
toi,0.01973481088522633
who,0.01918878844966671
one,0.018642766014107085
take,0.018642766014107085
at,0.018564762809027142
calorie,0.018486759603947196
mean,0.018486759603947196
her,0.018330753193787304
se,0.018330753193787304
where,0.018252749988707358
penser,0.01817474678362741
vraiment,0.01778473075822768
make,0.017706727553147734
dale,0.017550721142987842
back,0.017316711527748004
call,0.017160705117588115
comme,0.01661468268202849
really,0.016302669861708707
see,0.016146663451548814
etait,0.016068660246468868
thing,0.015990657041388925
let,0.01591265383630898
why,0.01591265383630898
prendre,0.015756647426149087
aimer,0.01567864422106914
his,0.01567864422106914
ici,0.015444634605829302
alors,0.015366631400749356
little,0.015132621785509517
oui,0.015054618580429571
venir,0.015054618580429571
dit,0.014820608965189734
our,0.014352589734710059
bon,0.014196583324550167
rien,0.014196583324550167
cherien,0.01411858011947022
some,0.01411858011947022
need,0.014040576914390274
god,0.013806567299150436
could,0.013728564094070491
merde,0.013650560888990545
from,0.01333854806867076
thank,0.013182541658510868
give,0.013104538453430924
comment,0.012870528838191085
money,0.012870528838191085
pourquoi,0.012870528838191085
choose,0.0125585160178713
dahlia,0.01240250960771141
etes,0.01240250960771141
time,0.012324506402631464
didn,0.012168499992471571
or,0.012012493582311679
man,0.011934490377231733
would,0.011934490377231733
panco,0.011856487172151787
juste,0.011778483967071842
love,0.011700480761991896
tres,0.01162247755691195
hey,0.011466471146752057
hell,0.011232461531512219
then,0.010998451916272382
croire,0.010920448711192436
dad,0.010920448711192436
merci,0.010920448711192436
work,0.010920448711192436
cause,0.01084244550611249
sorry,0.01084244550611249
guy,0.010764442301032543
maison,0.010764442301032543
par,0.010764442301032543
dieu,0.010608435890872651
meme,0.010530432685792707
million,0.01045242948071276
when,0.01045242948071276
falloir,0.010296423070552868
people,0.010218419865472922
quand,0.010218419865472922
peu,0.010140416660392976
sure,0.01006241345531303
hello,0.009984410250233083
jamais,0.009906407045153139
friend,0.009828403840073193
house,0.009828403840073193
kid,0.009750400634993247
maintenant,0.009750400634993247
never,0.0096723974299133
argent,0.009516391019753408
down,0.009438387814673462
appeler,0.009360384609593516
baby,0.009360384609593516
way,0.009360384609593516
off,0.009282381404513571
real,0.009282381404513571
too,0.009282381404513571
vie,0.009204378199433625
home,0.009126374994353679
life,0.009048371789273733
something,0.008970368584193786
talk,0.008970368584193786
day,0.00889236537911384
di,0.00889236537911384
ok,0.00889236537911384
uh,0.00889236537911384
gotta,0.008814362174033894
over,0.008814362174033894
nina,0.008736358968953948
quelque,0.008736358968953948
grand,0.008580352558794057
autre,0.008502349353714111
car,0.008502349353714111
try,0.008424346148634165
papa,0.008346342943554219
malloy,0.008268339738474273
more,0.008268339738474273
parle,0.008190336533394326
parler,0.00811233332831438
job,0.00795632691815449
meet,0.00795632691815449
maybe,0.007878323713074543
parce,0.007878323713074543
much,0.007800320507994597
prison,0.007800320507994597
temp,0.007800320507994597
ami,0.007722317302914651
donc,0.007644314097834705
even,0.007644314097834705
plan,0.007644314097834705
doing,0.007566310892754759
jim,0.007566310892754759
maman,0.007566310892754759
mom,0.007566310892754759
should,0.007566310892754759
vrai,0.007566310892754759
aussi,0.007488307687674813
com,0.007488307687674813
kind,0.007488307687674813
ouais,0.007488307687674813
accord,0.007410304482594867
etais,0.007410304482594867
happen,0.007410304482594867
live,0.007410304482594867
besoin,0.007332301277514921
any,0.007254298072434975
quel,0.007254298072434975
trouver,0.007254298072434975
enfant,0.0071762948673550295
ken,0.0071762948673550295
toujours,0.0071762948673550295
great,0.007098291662275083
school,0.007098291662275083
very,0.007098291662275083
gen,0.007020288457195137
monde,0.006942285252115191
mr,0.006942285252115191
problem,0.006942285252115191
truc,0.006942285252115191
big,0.006864282047035246
petit,0.006864282047035246
stop,0.006864282047035246
by,0.0067862788419552995
use,0.0067862788419552995
huh,0.006708275636875353
mere,0.006708275636875353
personne,0.006708275636875353
wait,0.006708275636875353
000,0.006552269226715462
ete,0.006552269226715462
femme,0.006552269226715462
find,0.006552269226715462
lie,0.006552269226715462
year,0.006552269226715462
ain,0.006474266021635516
lot,0.006474266021635516
around,0.0063962628165555695
bonne,0.0063962628165555695
doit,0.0063962628165555695
