Mot,Poids
le,0.37057380818121866
be,0.3554719106099966
you,0.3228122243576693
être,0.24426952770539737
the,0.2273898582113494
un,0.22402675359445712
de,0.20934638957194637
je,0.1964896163362519
to,0.1531999536381615
il,0.1426707786931772
it,0.1373099716063053
tu,0.1337910828518458
pa,0.13219658638498133
on,0.1230969599964962
that,0.11768117027283587
he,0.11113823649501273
que,0.10788509715169729
ce,0.1010397588715378
what,0.09485421223283944
eat,0.08796305508868957
ne,0.0855621466155948
and,0.08311541927850968
ca,0.08141095753806836
son,0.08120019076371271
vous,0.07763548314526285
of,0.07718645827815733
in,0.07586687499523502
en,0.07501464412501437
this,0.07349345784053447
faire,0.07162404818972785
get,0.0709001101386802
aller,0.06904902803346973
do,0.06828843489122978
have,0.06735373006582648
avoir,0.06685888633473061
my,0.06367905717379975
we,0.06212121579812758
qu,0.060260969920119034
pour,0.05908800700196587
your,0.05772260485505319
know,0.05729190753354383
fuck,0.051711169899518204
for,0.050877266574893686
don,0.05034576775260553
ton,0.04672607749736724
as,0.04595632058232922
with,0.04548896816962757
tout,0.04369286870120553
du,0.04148439945687027
go,0.04138359795609148
they,0.04110868477214933
vouloir,0.04103537458976476
tony,0.03912930984776586
savoir,0.03896436193740057
all,0.038735267617448776
mon,0.03867112120786228
qui,0.038597811025477706
moi,0.038203768795160624
no,0.03789220052002619
elle,0.03700331455861324
about,0.03631603159875787
not,0.0357570414580755
will,0.03526219772697963
avec,0.0350789222710182
dans,0.03484066417826834
pouvoir,0.03480400908707605
here,0.03402508839923996
say,0.033805157852086244
mais,0.033026237164250155
so,0.03300790961865401
she,0.032623031161135005
like,0.032302299113202496
up,0.0318807655644912
there,0.03103769846706861
bien,0.030542854735972742
quoi,0.030497035871982384
yes,0.03046954455358817
au,0.030130484960059517
but,0.0300388472320788
can,0.029873899321713512
out,0.029534839728184863
right,0.02924159899864657
voir,0.028884211859521777
just,0.028746755267550703
at,0.028655117539569987
si,0.02839853190122398
good,0.02834354926443555
how,0.027683757622974394
want,0.02766543007737825
plus,0.027372189347839956
etait,0.026959819571926735
lui,0.0266482512967923
come,0.026611596205600014
mama,0.02643748452243665
toi,0.025988459655331142
sur,0.02580518419936971
oh,0.025456960833042986
dit,0.025273685377081554
tell,0.024705531463601115
ou,0.02457723864442811
see,0.024311489233284033
gonna,0.023660861364620946
etre,0.023440930817467228
his,0.023065216132746293
se,0.02191974453298734
dire,0.021406573256295327
think,0.02103085857157439
if,0.020994203480382105
her,0.020563506158872737
comme,0.020306920520526732
now,0.019995352245392294
one,0.019308069285536925
est,0.019188940239161994
take,0.019179776466363922
venir,0.01900566478320056
look,0.018822389327239127
devoir,0.018089287503393395
rien,0.017979322229816536
some,0.017851029410643534
non,0.01777771922825896
guy,0.017576116226701386
who,0.017566952453903315
make,0.0175394611355091
nous,0.017502806044316813
from,0.016769704220471082
fuckin,0.01652228235492315
when,0.016293188034971356
quand,0.016018274851029208
shit,0.01585332694066392
thing,0.01573419789428899
let,0.015725034121490917
time,0.015715870348692845
why,0.015431793391952624
comment,0.015367646982366123
call,0.015358483209568051
back,0.014826984387279897
prendre,0.014515416112145461
hey,0.014322976883385958
bon,0.014286321792193671
autre,0.013983917289857307
well,0.013938098425866949
give,0.013690676560319014
choose,0.013599038832338298
putain,0.013599038832338298
over,0.013589875059540226
pourquoi,0.013305798102800007
kid,0.013241651693213504
didn,0.013058376237252072
ici,0.013030884918857857
where,0.012691825325329207
soprano,0.012646006461338849
or,0.012581860051752347
down,0.012526877414963918
okay,0.012517713642165846
could,0.012453567232579345
parler,0.0123710932773967
little,0.012215309139829482
par,0.012022869911069978
parle,0.012004542365473835
man,0.011958723501483477
meme,0.011949559728685406
oui,0.011857922000704688
something,0.011830430682310473
aimer,0.011766284272723972
pere,0.011674646544743256
alors,0.01152802617997411
falloir,0.011381405815204963
penser,0.011161475268051245
croire,0.0110148549032821
tres,0.010886562084109095
mere,0.010657467764157305
should,0.010611648900166947
thank,0.010492519853792017
talk,0.010364227034619013
gotta,0.010309244397830583
chez,0.010226770442647939
would,0.010190115351455652
new,0.01006182253228265
mean,0.009924365940311574
off,0.009887710849119288
passe,0.009860219530725073
hear,0.009741090484350142
maybe,0.009695271620359784
way,0.009438685982013778
year,0.009292065617244633
god,0.00927373807164849
need,0.009264574298850418
quel,0.00921875543486006
too,0.009154609025273559
merci,0.009026316206100555
