Mot,Poids
be,0.445644248307929
you,0.3509296669236825
le,0.30583904997408823
être,0.2337912060151315
je,0.23047214803499977
ne,0.19250536284763944
tu,0.18117199413499455
it,0.17210529916487866
to,0.17016243595699668
pa,0.15971954621463103
the,0.15656239350182283
un,0.15461953029394085
de,0.14425759318523695
that,0.11916227675009472
que,0.1126860660571548
il,0.10540032902759737
and,0.09471458138424649
on,0.09252886027537927
have,0.08678122328539507
what,0.0840288337408956
ce,0.0837050232062486
do,0.08273359160230762
ca,0.08240978106766061
eat,0.08022405995879339
he,0.07172403342430973
faire,0.07059069655304524
know,0.0705097439193835
aller,0.0701859333847365
en,0.06775735437488402
of,0.06435734376109056
in,0.05966209100870911
this,0.05577636459294515
we,0.05423826455337192
elle,0.053509690850416174
don,0.05310492768210743
avoir,0.05229540134548994
not,0.0512430171078872
as,0.05116206447422545
pouvoir,0.05010968023662271
get,0.04986682233563747
savoir,0.04881443809803473
she,0.04832872229606423
pour,0.04760014859310849
can,0.04654776435550575
for,0.046304906454520504
my,0.04557633275156476
qu,0.045333474850579515
vouloir,0.044362043246638526
just,0.04379537481100628
go,0.04355251691002103
moi,0.04282394320706529
vous,0.04241918003875655
her,0.0421763221377713
so,0.04152870106847731
your,0.04088107999918331
damon,0.039828695761580574
no,0.03958583786059532
tout,0.03950488522693358
but,0.038776311523977834
son,0.03820964308834559
stefan,0.037562022019051594
with,0.036752495682434105
will,0.03650963778144886
want,0.03537630091018437
mais,0.03497153774187563
elena,0.03489058510821388
ton,0.03367629560328764
quoi,0.0321381955637144
vampire,0.03181438502906741
about,0.031247716593435164
bien,0.031085811326111667
there,0.03084295342512642
here,0.030519142890479422
si,0.030438190256817675
toi,0.02995247445484718
they,0.02987152182118543
all,0.029628663920200183
like,0.028657232316259194
ou,0.028252469147950446
qui,0.02809056388062695
etait,0.0278477059796417
avec,0.026552463841053715
out,0.025985795405421473
devoir,0.025500079603450975
how,0.025500079603450975
etre,0.024609600633171736
plus,0.02404293219753949
voir,0.023881026930215994
du,0.02331435849458375
come,0.022909595326275005
dans,0.022747690058951508
gonna,0.02250483215796626
good,0.02242387952430451
why,0.02234292689064276
yes,0.022019116355995762
see,0.021938163722334016
up,0.021533400554025268
katherine,0.02145244792036352
sur,0.02145244792036352
if,0.021209590019378274
right,0.021209590019378274
mon,0.021128637385716523
now,0.02056196895008428
pourquoi,0.02048101631642253
tell,0.02048101631642253
lui,0.02031911104909903
au,0.019833395247128537
mama,0.019185774177834545
say,0.018781011009525797
think,0.01870005837586405
one,0.0186191057422023
se,0.01853815310854055
well,0.01853815310854055
let,0.01772862677192306
non,0.01772862677192306
look,0.01756672150459956
where,0.017485768870937814
back,0.01683814780164382
comme,0.016433384633335074
comment,0.016352431999673324
need,0.016352431999673324
who,0.016109574098688077
rien,0.01602862146502633
make,0.01586671619770283
dire,0.015785763564041082
est,0.01497623722742359
sorry,0.01489528459376184
from,0.014733379326438343
take,0.014733379326438343
at,0.014652426692776593
when,0.014571474059114844
ici,0.014409568791791345
really,0.014409568791791345
dit,0.014328616158129597
then,0.014328616158129597
alors,0.014166710890806098
choose,0.0140048056234826
didn,0.0140048056234826
jeremy,0.013680995088835603
thing,0.013600042455173855
would,0.013438137187850356
could,0.013357184554188608
time,0.013276231920526857
oh,0.013195279286865109
aimer,0.012952421385879861
gilbert,0.012952421385879861
ok,0.012952421385879861
quand,0.012871468752218113
mystic,0.012790516118556363
fall,0.012709563484894614
okay,0.012547658217571115
penser,0.012547658217571115
venir,0.012466705583909367
because,0.012385752950247617
autre,0.012304800316585868
mean,0.01214289504926237
passe,0.011980989781938872
nous,0.011819084514615373
thank,0.011819084514615373
vraiment,0.011657179247291875
matt,0.011576226613630126
kill,0.011495273979968378
give,0.011414321346306627
help,0.011333368712644879
something,0.01125241607898313
doing,0.01117146344532138
way,0.011090510811659631
etais,0.010928605544336133
bonnir,0.010766700277012634
croire,0.010766700277012634
please,0.010685747643350885
merci,0.010604795009689137
some,0.01028098447504214
sure,0.01028098447504214
caroline,0.01020003184138039
oui,0.010119079207718642
or,0.010038126574056892
blood,0.009876221306733395
maintenant,0.009876221306733395
over,0.009876221306733395
parler,0.009795268673071645
little,0.009714316039409896
hey,0.009633363405748148
keep,0.009633363405748148
his,0.009471458138424649
love,0.009390505504762899
sing,0.009390505504762899
salvatear,0.00930955287110115
happen,0.009066694970115903
journal,0.009066694970115903
quelque,0.009066694970115903
talk,0.008985742336454154
brother,0.008904789702792404
off,0.008904789702792404
meme,0.008823837069130655
more,0.008823837069130655
never,0.008823837069130655
vicki,0.008823837069130655
isobel,0.008742884435468907
john,0.008742884435468907
prendre,0.008661931801807157
try,0.008661931801807157
anything,0.008580979168145408
town,0.008580979168145408
ete,0.00850002653448366
par,0.00841907390082191
juste,0.008257168633498412
mere,0.008257168633498412
even,0.008176215999836662
should,0.008176215999836662
very,0.008176215999836662
fine,0.007933358098851415
friend,0.007933358098851415
laisse,0.007852405465189666
peu,0.007852405465189666
trouver,0.007852405465189666
dis,0.007771452831527917
too,0.007771452831527917
guy,0.007690500197866167
mort,0.007690500197866167
much,0.007690500197866167
ville,0.007690500197866167
home,0.007609547564204419
tres,0.007609547564204419
truc,0.007609547564204419
doesn,0.007528594930542669
essayer,0.007528594930542669
jamais,0.007528594930542669
accord,0.00744764229688092
stop,0.00744764229688092
year,0.00744764229688092
any,0.0073666896632191715
car,0.0073666896632191715
parle,0.0073666896632191715
besoin,0.007285737029557422
doit,0.007285737029557422
encore,0.007285737029557422
hurt,0.007285737029557422
seul,0.007285737029557422
team,0.007285737029557422
bon,0.007204784395895673
by,0.007204784395895673
family,0.007204784395895673
long,0.007204784395895673
only,0.007204784395895673
toujours,0.007204784395895673
everything,0.007123831762233923
people,0.007123831762233923
mal,0.007042879128572175
wait,0.007042879128572175
day,0.006961926494910425
frere,0.006961926494910425
miss,0.006961926494910425
change,0.006880973861248676
night,0.0068000212275869274
quelqu,0.0068000212275869274
secret,0.0068000212275869274
temp,0.0068000212275869274
turn,0.0068000212275869274
work,0.0068000212275869274
desole,0.006719068593925178
desolee,0.006719068593925178
emily,0.006719068593925178
girl,0.006719068593925178
leave,0.006719068593925178
personne,0.006719068593925178
vie,0.006719068593925178
call,0.006638115960263429
sortir,0.006638115960263429
depuis,0.00655716332660168
find,0.00655716332660168
aider,0.006476210692939931
aussi,0.006476210692939931
comprendre,0.006476210692939931
deux,0.006476210692939931
life,0.006476210692939931
soir,0.006476210692939931
cause,0.006395258059278181
connaître,0.006395258059278181
part,0.006395258059278181
parce,0.006314305425616432
tuer,0.006314305425616432
wrong,0.006314305425616432
down,0.006152400158292934
won,0.006152400158292934
away,0.006071447524631185
thought,0.006071447524631185
arrete,0.005990494890969436
vrai,0.005990494890969436
again,0.005909542257307687
dead,0.005909542257307687
die,0.005909542257307687
falloir,0.005909542257307687
fois,0.005909542257307687
nothing,0.005909542257307687
wanna,0.005909542257307687
ami,0.005828589623645937
our,0.005828589623645937
avant,0.005747636989984189
donc,0.005747636989984189
god,0.005747636989984189
still,0.005747636989984189
last,0.005666684356322439
mom,0.005666684356322439
other,0.005666684356322439
quel,0.005666684356322439
live,0.00558573172266069
