Mot,Poids
le,0.3971065841172738
be,0.28814453398132095
you,0.2864391805912352
the,0.28224601754973005
un,0.2283167244608991
de,0.21954920173775208
être,0.2163391247681788
on,0.18110853002711214
to,0.1658205384595194
il,0.153622245975141
je,0.14222647273315586
that,0.12972723553287993
pa,0.12166191714682707
it,0.11907379259010861
ce,0.11522170022662069
he,0.10972444341622646
que,0.10928305783291013
and,0.107377074632226
eat,0.10270240004528491
we,0.10109736156049828
tu,0.09868980383331832
vous,0.09762646583714718
get,0.09495808935618939
in,0.08360244207632395
ca,0.08324130841724695
this,0.08153595502716114
faire,0.0791283972999812
of,0.07832587805758788
what,0.07760361073943389
en,0.07726254006141672
son,0.06971885918291953
avoir,0.06913703273218438
qu,0.06809375771707306
ne,0.06751193126633791
they,0.06719092356938058
pour,0.06680972692924375
do,0.06546550719823495
for,0.06514449950127763
aller,0.0644021692020638
know,0.056156283986472454
up,0.05611615802435279
all,0.0555142685925578
have,0.05352803346763434
tout,0.049796318990505406
no,0.04973613004732591
with,0.049053988691291586
qui,0.047127942509547625
right,0.045021329498265164
your,0.044238873236931674
dans,0.04421881025587184
sur,0.043496542937717854
as,0.04347647995665802
du,0.04317553524076053
fuck,0.042052008301409885
man,0.042011882339290214
go,0.040246340006024915
mais,0.03978489144164876
can,0.03976482846058892
si,0.03898237219925544
but,0.03836041978640062
my,0.037718404392485964
savoir,0.03763815246824663
pouvoir,0.03741745967658847
vouloir,0.037397396695528634
don,0.03687575918797298
shit,0.03547135051378467
out,0.03382618606687837
if,0.033244359616143214
yes,0.03320423365402355
voir,0.03302366682448505
avec,0.03272272210858756
moi,0.03262240720328839
here,0.03242177739269006
gonna,0.03188007690407457
ou,0.03157913218817708
at,0.03137850237757875
say,0.031338376415459085
like,0.03109762064274109
there,0.03109762064274109
so,0.03097724275638209
come,0.030596046116245265
ain,0.03057598313518543
au,0.030555920154125598
one,0.029954030722330608
not,0.02975340091173228
just,0.02955277110113395
about,0.029251826385236455
plus,0.02893081868827913
will,0.027787228767868648
non,0.026964646544415497
see,0.026222316245201677
good,0.025941434510364018
bien,0.02584111960506485
nous,0.025800993642945188
now,0.025800993642945188
quoi,0.025560237870227192
se,0.025339545078569028
lui,0.024557088817235544
how,0.02419595515815855
want,0.02419595515815855
his,0.023553939764243893
ton,0.02299217629456857
dire,0.022610979654431745
from,0.022430412824893248
need,0.02222978301429492
mon,0.021607830601440097
tell,0.0214272637719016
look,0.021306885885542602
comme,0.02122663396130327
down,0.021126319056004105
some,0.021066130112824606
dit,0.020383988756790285
back,0.020363925775730454
etre,0.020143232984072293
who,0.02006298105983296
or,0.01988241423029446
toi,0.01986235124923463
rien,0.01932065076061914
make,0.018718761328824152
take,0.018538194499285655
yo,0.01843787959398649
work,0.018016556991729996
oui,0.017896179105371002
police,0.017775801219012004
etait,0.017595234389473507
falloir,0.016491770431182693
alors,0.016451644469063026
elle,0.016431581488003194
est,0.016190825715285198
deux,0.015950069942567202
autre,0.01586981801832787
think,0.01578956609408854
when,0.015328117529712382
where,0.015328117529712382
venir,0.015207739643353384
quand,0.01518767666229355
give,0.015087361756994386
prendre,0.015007109832755054
devoir,0.014886731946396056
bon,0.014786417041096891
call,0.01470616511685756
time,0.014666039154737893
thing,0.014425283382019899
let,0.013883582893404408
meme,0.01362276413962658
mean,0.013562575196447081
she,0.013522449234327414
more,0.013442197310088083
then,0.01342213432902825
putain,0.013101126632070923
two,0.013040937688891424
ici,0.01288043384041276
way,0.012800181916173428
boy,0.01267980402981443
off,0.012659741048754598
day,0.012599552105575099
comment,0.012579489124515265
choose,0.012479174219216101
merde,0.012378859313916937
par,0.012378859313916937
baltimore,0.012358796332857103
little,0.01233873335179727
why,0.012178229503318606
people,0.012118040560139107
mama,0.01199766267378011
case,0.011676654976822782
money,0.011556277090463784
over,0.011556277090463784
too,0.011415836223044954
affaire,0.011255332374566291
pourquoi,0.011215206412446624
marlo,0.010994513620788461
something,0.010813946791249964
barksdale,0.010753757848070467
croire,0.010673505923831135
our,0.010472876113232806
guy,0.010392624188993473
aussi,0.01037256120793364
ouais,0.010292309283694309
mec,0.01023212034051481
oh,0.009911112643557481
even,0.00983086071931815
year,0.00983086071931815
accord,0.009810797738258317
ass,0.009750608795078818
truc,0.009730545814018986
quelque,0.009670356870839487
street,0.009670356870839487
well,0.009469727060241157
by,0.009369412154941992
ete,0.009329286192822327
hey,0.009208908306463329
put,0.009188845325403495
new,0.008907963590565834
could,0.008767522723147004
nothing,0.008727396761027337
hear,0.008707333779967505
ecoute,0.008647144836788006
omar,0.00860701887466834
petit,0.00860701887466834
parler,0.008586955893608507
trouver,0.008586955893608507
encore,0.008506703969369174
still,0.008506703969369174
san,0.008466578007249509
any,0.008446515026189675
name,0.008446515026189675
juste,0.008426452045129844
run,0.008426452045129844
gar,0.00840638906407001
jour,0.00840638906407001
lieutenant,0.008245885215591347
peut,0.008185696272411848
aux,0.008125507329232349
motherfucker,0.008125507329232349
maybe,0.008105444348172515
phone,0.008105444348172515
dis,0.008045255404993018
temp,0.00800512944287335
penser,0.00792487751863402
mcnulty,0.007884751556514353
fois,0.007784436651215188
keep,0.007784436651215188
passe,0.007724247708035689
rue,0.0077041847269758565
didn,0.0076439957837963575
gotta,0.007543680878497193
besoin,0.0075236178974373595
okay,0.007423302992138195
than,0.007423302992138195
argent,0.007403240011078362
talk,0.007403240011078362
much,0.007363114048958696
other,0.007363114048958696
her,0.007343051067898863
try,0.007343051067898863
would,0.007343051067898863
around,0.007262799143659532
