Mot,Poids
be,0.3545445329090825
le,0.3442465589241714
you,0.2863817527232423
the,0.2557330206252926
être,0.2525455524871058
de,0.1863442911555344
un,0.1834020128741312
on,0.1824212534469968
to,0.16697429246963014
vous,0.15373404020331585
il,0.15324366048974866
we,0.15103695177869628
je,0.14588796478624072
pa,0.13509961108776242
it,0.12455644724606771
will,0.12431125738928411
he,0.10739315727121586
this,0.10714796741443226
que,0.10690277755764867
that,0.10445087898981269
ce,0.09660480357273755
and,0.09341733543455079
have,0.09047505715314762
in,0.08924910786922963
ne,0.08728758901496084
eat,0.08630682958782644
of,0.08606163973104285
son,0.08434531073355767
avoir,0.07846075417075131
get,0.07625404545969894
qu,0.07429252660543015
what,0.07061467875367619
do,0.0696339193265418
en,0.06595607147478783
ca,0.06497531204765343
faire,0.05982632505519788
for,0.05933594534163068
know,0.05933594534163068
your,0.05516771777630952
they,0.054677338062742324
tu,0.054677338062742324
fog,0.05418695834917513
not,0.052225439494906344
pour,0.05198024963812275
qui,0.051244680067771956
jay,0.05099949021098835
aller,0.04977354092707036
tout,0.0456053133617492
dans,0.04339860465069682
go,0.04266303508034603
savoir,0.04241784522356243
out,0.04143708579642804
tyler,0.04094670608286084
burchell,0.04070151622607725
no,0.04070151622607725
du,0.04021113651251005
nous,0.039965946655726454
don,0.03800442780145767
sur,0.03653328866075608
here,0.03604290894718889
my,0.035797719090405286
about,0.03555252923362169
drexler,0.0343265799497037
with,0.0338362002361365
moi,0.032855440809002115
right,0.032855440809002115
traveler,0.032855440809002115
can,0.03261025095221851
pouvoir,0.03236506109543492
just,0.03211987123865132
there,0.03187468138186772
vouloir,0.031629491525084125
yes,0.03138430166830053
if,0.030893921954733332
mais,0.030158352384382536
but,0.02991316252759894
si,0.02966797267081534
all,0.029422782814031743
ou,0.029177592957248144
new,0.02868721324368095
tell,0.02868721324368095
as,0.02844202338689735
come,0.02844202338689735
au,0.027951643673330157
want,0.027951643673330157
etait,0.02721607410297936
who,0.026970884246195766
look,0.026725694389412167
up,0.026725694389412167
bien,0.025744934962277775
say,0.025744934962277775
plus,0.025009365391926983
oui,0.024764175535143384
like,0.024518985678359785
back,0.023783416108008992
one,0.023783416108008992
agent,0.023538226251225394
good,0.023538226251225394
his,0.023538226251225394
voir,0.023538226251225394
etre,0.0232930363944418
now,0.0232930363944418
ici,0.0228026566808746
mon,0.0228026566808746
think,0.0228026566808746
quoi,0.022557466824091002
take,0.02182189725374021
dit,0.02157670739695661
guy,0.02157670739695661
fbi,0.021331517540173015
from,0.021331517540173015
gonna,0.021331517540173015
so,0.021331517540173015
pere,0.02059594796982222
call,0.020350758113038624
our,0.019860378399471426
at,0.019615188542687827
time,0.019615188542687827
venir,0.019369998685904232
avec,0.019124808829120633
make,0.018879618972337035
york,0.018634429115553436
trouver,0.01838923925876984
where,0.01838923925876984
est,0.018144049401986242
need,0.01740847983163545
non,0.01740847983163545
see,0.01740847983163545
lui,0.01716328997485185
suspect,0.01716328997485185
marlow,0.016672910261284656
man,0.016427720404501057
rien,0.016427720404501057
se,0.016427720404501057
elle,0.01618253054771746
etes,0.01618253054771746
kim,0.01618253054771746
devoir,0.01593734069093386
dire,0.01593734069093386
let,0.01593734069093386
ton,0.015692150834150265
croire,0.015446960977366666
name,0.015446960977366666
then,0.015446960977366666
when,0.015201771120583067
down,0.014711391407015871
help,0.014711391407015871
two,0.014711391407015871
why,0.014711391407015871
how,0.014466201550232274
quand,0.014466201550232274
sir,0.014221011693448676
appeler,0.013975821836665079
carlton,0.013975821836665079
thing,0.013975821836665079
way,0.01373063197988148
work,0.01373063197988148
father,0.013485442123097883
question,0.013240252266314284
wait,0.013240252266314284
ami,0.012749872552747088
dad,0.012749872552747088
didn,0.012749872552747088
friend,0.012504682695963491
okay,0.012504682695963491
toi,0.012504682695963491
doherty,0.012259492839179893
par,0.012259492839179893
falloir,0.012014302982396296
she,0.012014302982396296
choose,0.011769113125612697
prendre,0.011769113125612697
alors,0.0115239232688291
homme,0.0115239232688291
kill,0.0115239232688291
people,0.011278733412045501
pourquoi,0.011278733412045501
aider,0.011033543555261904
could,0.011033543555261904
off,0.011033543555261904
or,0.011033543555261904
penser,0.011033543555261904
something,0.011033543555261904
car,0.010788353698478305
free,0.010788353698478305
deja,0.010543163841694708
keep,0.010543163841694708
by,0.01029797398491111
deux,0.01029797398491111
maya,0.01029797398491111
minute,0.01029797398491111
more,0.01029797398491111
place,0.01029797398491111
seul,0.01029797398491111
any,0.010052784128127512
donc,0.010052784128127512
maybe,0.010052784128127512
peut,0.010052784128127512
plan,0.010052784128127512
still,0.010052784128127512
sure,0.010052784128127512
taft,0.010052784128127512
thank,0.010052784128127512
well,0.010052784128127512
bombing,0.009807594271343914
haven,0.009807594271343914
merci,0.009807594271343914
monsieur,0.009807594271343914
sorry,0.009807594271343914
try,0.009807594271343914
would,0.009807594271343914
parler,0.009562404414560317
passe,0.009562404414560317
comme,0.009317214557776718
ete,0.009317214557776718
police,0.009317214557776718
quelque,0.009317214557776718
type,0.009317214557776718
autre,0.009072024700993121
her,0.009072024700993121
last,0.009072024700993121
pay,0.009072024700993121
some,0.009072024700993121
temp,0.009072024700993121
toujours,0.009072024700993121
attentat,0.008826834844209524
doing,0.008826834844209524
find,0.008826834844209524
give,0.008826834844209524
job,0.008826834844209524
only,0.008826834844209524
run,0.008826834844209524
sortir,0.008826834844209524
contact,0.008581644987425925
found,0.008581644987425925
anything,0.008336455130642328
partir,0.008336455130642328
use,0.008336455130642328
daniel,0.00809126527385873
avant,0.007846075417075132
because,0.007846075417075132
bon,0.007846075417075132
day,0.007846075417075132
doit,0.007846075417075132
mort,0.007846075417075132
nom,0.007846075417075132
arrive,0.007600885560291534
attend,0.007600885560291534
chamber,0.007600885560291534
happen,0.007600885560291534
jamais,0.007600885560291534
juste,0.007600885560291534
leave,0.007600885560291534
part,0.007600885560291534
should,0.007600885560291534
ville,0.007600885560291534
before,0.007355695703507936
boston,0.007355695703507936
chance,0.007355695703507936
choix,0.007355695703507936
tuer,0.007355695703507936
accord,0.007110505846724338
celui,0.007110505846724338
essayer,0.007110505846724338
move,0.007110505846724338
parce,0.007110505846724338
please,0.007110505846724338
desole,0.00686531598994074
dis,0.00686531598994074
hell,0.00686531598994074
hour,0.00686531598994074
serum,0.00686531598994074
check,0.006620126133157142
comment,0.006620126133157142
lie,0.006620126133157142
photo,0.006620126133157142
put,0.006620126133157142
quelqu,0.006620126133157142
video,0.006620126133157142
voiture,0.006620126133157142
aux,0.006374936276373544
believe,0.006374936276373544
change,0.006374936276373544
chercher,0.006374936276373544
first,0.006374936276373544
holloway,0.006374936276373544
idea,0.006374936276373544
into,0.006374936276373544
meme,0.006374936276373544
museum,0.006374936276373544
never,0.006374936276373544
parle,0.006374936276373544
preuve,0.006374936276373544
than,0.006374936276373544
borjes,0.006129746419589946
city,0.006129746419589946
fils,0.006129746419589946
mean,0.006129746419589946
their,0.006129746419589946
affaire,0.005884556562806348
ago,0.005884556562806348
already,0.005884556562806348
encore,0.005884556562806348
everything,0.005884556562806348
evidence,0.005884556562806348
harbor,0.005884556562806348
innocent,0.005884556562806348
left,0.005884556562806348
long,0.005884556562806348
over,0.005884556562806348
three,0.005884556562806348
train,0.005884556562806348
travail,0.005884556562806348
country,0.0056393667060227505
dead,0.0056393667060227505
deer,0.0056393667060227505
hear,0.0056393667060227505
kind,0.0056393667060227505
laisse,0.0056393667060227505
ok,0.0056393667060227505
stay,0.0056393667060227505
year,0.0056393667060227505
bonne,0.005394176849239153
doesn,0.005394176849239153
ellington,0.005394176849239153
fois,0.005394176849239153
heure,0.005394176849239153
listen,0.005394176849239153
manhattan,0.005394176849239153
musee,0.005394176849239153
own,0.005394176849239153
president,0.005394176849239153
problem,0.005394176849239153
quel,0.005394176849239153
raison,0.005394176849239153
san,0.005394176849239153
talk,0.005394176849239153
terrorist,0.005394176849239153
thought,0.005394176849239153
through,0.005394176849239153
trust,0.005394176849239153
whaley,0.005394176849239153
aimer,0.005148986992455555
cas,0.005148986992455555
case,0.005148986992455555
coming,0.005148986992455555
different,0.005148986992455555
gen,0.005148986992455555
hand,0.005148986992455555
head,0.005148986992455555
lead,0.005148986992455555
much,0.005148986992455555
personne,0.005148986992455555
pull,0.005148986992455555
really,0.005148986992455555
revenir,0.005148986992455555
too,0.005148986992455555
vrai,0.005148986992455555
vraiment,0.005148986992455555
arme,0.004903797135671957
aucun,0.004903797135671957
bureau,0.004903797135671957
die,0.004903797135671957
donne,0.004903797135671957
ecoute,0.004903797135671957
explosion,0.004903797135671957
