Mot,Poids
be,0.4309773320309934
you,0.41901554421868537
le,0.2392357562461607
the,0.23229399741737863
to,0.21339045077628857
être,0.19425159027659572
je,0.180681824430502
it,0.1496596140713687
un,0.14899289147199418
de,0.13142279002965318
that,0.12836370986781703
ne,0.12750089238627352
tu,0.12404962246009939
pa,0.1151076958331937
and,0.10997000992036632
have,0.10738155747573573
que,0.0990671344717708
what,0.09796900313162449
he,0.09518445580482492
on,0.09498836092265593
il,0.0891447334340202
do,0.08706612768302897
of,0.08588955839001507
tru,0.08432079933266319
ce,0.07992827397207794
know,0.079339989325571
this,0.07832029593829228
get,0.07408464648344222
in,0.06890774159418103
for,0.06733898253682917
just,0.06635850812598425
we,0.06616241324381526
she,0.0632209900112805
but,0.0631425520584129
eat,0.06216207764756798
en,0.0582009610277545
my,0.05792642819271792
no,0.05737736252264477
ca,0.05635766913536605
not,0.05580860346529289
don,0.05561250858312391
faire,0.05482812905444797
can,0.054082968502205835
so,0.05380843566716926
vous,0.0532593699970961
your,0.05043560369386273
will,0.05039638471742893
aller,0.05004341392952476
yes,0.049886538023789576
avoir,0.049455129283017804
go,0.0458469834511085
son,0.045180260851733954
about,0.044552757228793205
pour,0.04435666234662422
her,0.04427822439375662
here,0.043689939747249676
right,0.042631027383537155
qu,0.042552589430669564
with,0.04223883761919919
elle,0.0421211806898978
as,0.04094461139688389
pouvoir,0.040591640608979726
there,0.03894444359876026
moi,0.037454122494275974
mais,0.036826618871335225
out,0.03666974296560004
okay,0.036434429106997256
all,0.036277553201262074
say,0.03537551674328474
want,0.03494410800251298
tout,0.034630356191042606
music,0.034591137214608804
like,0.03392441461523426
one,0.033414567921594904
look,0.03298315918082314
tell,0.03298315918082314
good,0.032865502251521746
see,0.032865502251521746
savoir,0.032787064298654155
they,0.032787064298654155
up,0.03196346579354442
if,0.030904553429831904
instrumental,0.02984564106611939
think,0.02984564106611939
gonna,0.029806422089685595
come,0.02933579437248003
vouloir,0.02933579437248003
how,0.027845473267995753
qui,0.027806254291561954
at,0.027217969645055004
bien,0.02702187476288602
time,0.026668903974981846
now,0.02611983830490869
why,0.024982487988328583
who,0.02466873617685821
si,0.024590298223990614
lt,0.023962794601049865
harrison,0.02388435664818227
thing,0.023727480742447085
help,0.023688261766013286
ton,0.023609823813145695
jack,0.022982320190204946
make,0.02278622530803596
devoir,0.022354816567264194
etre,0.022354816567264194
voir,0.022354816567264194
guy,0.022158721685095212
davis,0.02204106475579382
day,0.02168809396788965
hey,0.021531218062154463
need,0.021374342156419274
du,0.021256685227117884
didn,0.021099809321382695
call,0.020982152392081305
take,0.02082527648634612
etait,0.020472305698441946
avec,0.019962459004802587
plus,0.019923240028368792
non,0.0198055830990674
some,0.019766364122633603
thank,0.019609488216898417
dans,0.019491831287597027
mon,0.019295736405428043
oui,0.019256517428994244
toi,0.019099641523259058
would,0.019021203570391464
sorry,0.018785889711788684
something,0.018668232782487294
let,0.01831526199458312
from,0.01819760506528173
sur,0.01819760506528173
quoi,0.018119167112414136
dire,0.01780541530094376
could,0.017766196324509965
au,0.01757010144234098
really,0.01721713065443681
sure,0.016942597819400232
back,0.016864159866532637
his,0.016511189078628467
hello,0.016197437267158093
work,0.016079780337856703
well,0.015922904432121514
se,0.015766028526386328
lui,0.015530714667783546
because,0.015452276714915952
way,0.015452276714915952
ou,0.015020867974144187
today,0.015020867974144187
or,0.014903211044842797
when,0.014863992068409
mean,0.014785554115541406
never,0.014785554115541406
choose,0.014511021280504828
someone,0.014471802304071031
ici,0.014314926398335844
oh,0.014275707421902047
maybe,0.013961955610431672
where,0.013922736633997877
est,0.013726641751828892
penser,0.013687422775395095
mama,0.013608984822527502
too,0.013295233011057126
venir,0.013138357105321938
dit,0.013020700176020548
meet,0.012942262223152956
merci,0.012903043246719158
nous,0.012903043246719158
off,0.012863824270285361
thought,0.01251085348238119
rien,0.012471634505947394
morgue,0.012353977576646002
happen,0.012314758600212207
man,0.01227553962377841
then,0.01227553962377841
lindsay,0.012157882694477018
should,0.012118663718043222
people,0.012040225765175628
luc,0.011961787812308035
tonight,0.011961787812308035
give,0.011922568835874238
little,0.011922568835874238
talk,0.011844130883006643
comme,0.011687254977271456
try,0.01164803600083766
ask,0.011569598047970066
by,0.011530379071536269
save,0.011451941118668676
friend,0.011334284189367286
die,0.011216627260065894
girl,0.011138189307198301
pourquoi,0.011059751354330707
god,0.010824437495727927
over,0.01078521851929413
juste,0.010628342613558942
croire,0.010432247731389958
any,0.010314590802088568
life,0.01027537182565477
two,0.01027537182565477
more,0.010196933872787176
nice,0.01015771489635338
doing,0.010118495919919583
davls,0.010079276943485786
still,0.009765525132015411
only,0.009726306155581614
wait,0.009726306155581614
question,0.009687087179147819
comment,0.009647868202714021
vie,0.009647868202714021
first,0.009569430249846427
great,0.009569430249846427
aimer,0.009530211273412631
meme,0.009490992296978834
mort,0.009451773320545037
love,0.009334116391243647
minute,0.009255678438376052
find,0.009216459461942255
quelque,0.009216459461942255
vraiment,0.009216459461942255
even,0.009138021509074662
prendre,0.009020364579773272
quand,0.009020364579773272
year,0.008863488674038085
car,0.008824269697604288
down,0.008824269697604288
hear,0.008824269697604288
before,0.00878505072117049
passe,0.008706612768302898
doesn,0.0086673937918691
please,0.0086673937918691
everything,0.008628174815435303
fine,0.008628174815435303
harrlson,0.008628174815435303
autre,0.008588955839001506
falloir,0.008588955839001506
late,0.00854973686256771
peu,0.00854973686256771
tense,0.008471298909700116
anything,0.008392860956832523
talke,0.008392860956832523
again,0.008353641980398726
chance,0.008314423003964929
job,0.008275204027531131
name,0.008275204027531131
place,0.008275204027531131
kill,0.008235985051097336
night,0.008235985051097336
fois,0.008196766074663539
nothing,0.008196766074663539
actually,0.008157547098229741
last,0.008157547098229741
change,0.008118328121795944
donc,0.008118328121795944
peut,0.008079109145362147
sauver,0.008079109145362147
keep,0.008000671192494554
bon,0.007961452216060757
guess,0.00792223323962696
parler,0.007843795286759367
police,0.007843795286759367
miss,0.00780457631032557
won,0.007726138357457976
trouver,0.00768691938102418
believe,0.007569262451722789
much,0.007569262451722789
stop,0.007569262451722789
alors,0.007530043475288992
temp,0.007530043475288992
our,0.007451605522421399
ete,0.0074123865459876015
sister,0.0074123865459876015
always,0.007373167569553805
appeler,0.007373167569553805
soir,0.007373167569553805
aider,0.007333948593120008
leave,0.007333948593120008
personne,0.007333948593120008
quelqu,0.007137853710951023
maintenant,0.00705941575808343
bad,0.006980977805215836
start,0.006980977805215836
aide,0.00694175882878204
into,0.00694175882878204
live,0.00694175882878204
davies,0.006902539852348242
other,0.006902539852348242
besoin,0.006863320875914446
tres,0.006824101899480649
aussi,0.006784882923046852
gotta,0.006784882923046852
ever,0.006745663946613055
hui,0.006745663946613055
jamais,0.006745663946613055
aujourd,0.006706444970179259
encore,0.006706444970179259
dis,0.006628007017311665
wrong,0.006628007017311665
fille,0.006588788040877868
isn,0.006588788040877868
arrive,0.0065495690644440715
might,0.0065495690644440715
kind,0.006510350088010274
listen,0.006431912135142681
through,0.006431912135142681
phone,0.006392693158708884
seul,0.006392693158708884
surprise,0.006392693158708884
stay,0.006353474182275087
after,0.006275036229407493
excuse,0.006275036229407493
body,0.006235817252973697
etais,0.006118160323672306
away,0.006039722370804712
death,0.006039722370804712
par,0.006039722370804712
parle,0.006000503394370915
understand,0.006000503394370915
candace,0.005961284417937119
jensen,0.005961284417937119
lot,0.005961284417937119
suppose,0.005961284417937119
new,0.0059220654415033215
than,0.0059220654415033215
around,0.005882846465069525
run,0.005843627488635728
toujours,0.005843627488635728
remember,0.0058044085122019315
show,0.0058044085122019315
else,0.005765189535768134
same,0.005765189535768134
dead,0.005725970559334338
kid,0.005725970559334338
probably,0.005725970559334338
yesterday,0.005725970559334338
long,0.005686751582900541
hour,0.005647532606466744
mr,0.005647532606466744
journee,0.005608313630032947
very,0.005608313630032947
essayer,0.005569094653599151
lf,0.005569094653599151
school,0.005569094653599151
anyway,0.005529875677165353
deja,0.005529875677165353
salut,0.005529875677165353
jour,0.00545143772429776
woman,0.00545143772429776
apres,0.005412218747863963
cause,0.005372999771430166
desolee,0.005372999771430166
feel,0.005372999771430166
lose,0.005372999771430166
next,0.005372999771430166
worry,0.005372999771430166
check,0.00533378079499637
home,0.00533378079499637
cas,0.0052945618185625725
crazy,0.005255342842128776
aske,0.005216123865694979
course,0.005216123865694979
mal,0.005216123865694979
wouldn,0.0051769048892611825
mark,0.005137685912827385
quel,0.005137685912827385
trop,0.005137685912827385
boulot,0.005059247959959792
demande,0.005059247959959792
parce,0.005059247959959792
bonne,0.005020028983525994
jake,0.005020028983525994
wasn,0.005020028983525994
ok,0.004980810007092198
use,0.004980810007092198
comprendre,0.004941591030658401
party,0.004941591030658401
soeur,0.004941591030658401
brother,0.004902372054224604
celer,0.004902372054224604
mind,0.004902372054224604
avant,0.004863153077790807
ecoute,0.004863153077790807
laisse,0.004863153077790807
another,0.004823934101357011
dad,0.004823934101357011
ami,0.004784715124923213
etes,0.004745496148489417
connaître,0.00470627717205562
hell,0.00470627717205562
must,0.00470627717205562
face,0.004667058195621823
ago,0.004627839219188026
continue,0.004627839219188026
vrai,0.004627839219188026
10,0.00458862024275423
found,0.00458862024275423
heure,0.00458862024275423
hope,0.00458862024275423
fast,0.0045494012663204325
mere,0.004510182289886636
san,0.004510182289886636
yet,0.004510182289886636
ex,0.004470963313452839
tard,0.004470963313452839
accord,0.0044317443370190425
being,0.0044317443370190425
couldn,0.0044317443370190425
money,0.0044317443370190425
raison,0.0044317443370190425
desole,0.004392525360585245
which,0.004392525360585245
carly,0.004353306384151449
doctor,0.004353306384151449
gar,0.004353306384151449
hard,0.004353306384151449
left,0.004353306384151449
old,0.004353306384151449
problem,0.004353306384151449
sound,0.004353306384151449
part,0.004314087407717652
thinke,0.004274868431283855
jordan,0.004235649454850058
alone,0.004196430478416262
haven,0.004196430478416262
playe,0.004196430478416262
put,0.004196430478416262
secret,0.004157211501982464
doit,0.004117992525548668
enough,0.004117992525548668
morning,0.004117992525548668
mourir,0.004117992525548668
big,0.004078773549114871
bring,0.004078773549114871
care,0.004078773549114871
anyone,0.0040395545726810735
exactly,0.0040395545726810735
may,0.0040395545726810735
wend,0.0040395545726810735
dieu,0.004000335596247277
ring,0.004000335596247277
sarah,0.004000335596247277
depuis,0.00396111661981348
everyone,0.00396111661981348
harry,0.00396111661981348
father,0.0039218976433796834
pick,0.0039218976433796834
corps,0.0038826786669458866
idea,0.0038826786669458866
papa,0.0038826786669458866
second,0.0038826786669458866
seem,0.0038826786669458866
serum,0.0038826786669458866
yourself,0.0038826786669458866
celui,0.00384345969051209
date,0.00384345969051209
forget,0.00384345969051209
important,0.00384345969051209
mieux,0.00384345969051209
once,0.00384345969051209
hier,0.003804240714078293
carrie,0.003765021737644496
every,0.003765021737644496
few,0.003765021737644496
mom,0.003765021737644496
reason,0.003765021737644496
soon,0.003765021737644496
together,0.003765021737644496
beaucoup,0.0037258027612106994
figure,0.0037258027612106994
moment,0.0037258027612106994
three,0.0037258027612106994
avery,0.0036865837847769025
heart,0.0036865837847769025
llndsay,0.0036865837847769025
move,0.0036865837847769025
super,0.0036865837847769025
probleme,0.0036473648083431057
suspenseful,0.0036473648083431057
bye,0.003608145831909309
high,0.003608145831909309
hurt,0.003608145831909309
attend,0.0035689268554755117
different,0.0035689268554755117
garder,0.0035689268554755117
hand,0.0035689268554755117
meredith,0.0035689268554755117
passer,0.0035689268554755117
plan,0.0035689268554755117
real,0.0035689268554755117
turn,0.0035689268554755117
meilleur,0.003529707879041715
pretty,0.003529707879041715
since,0.003529707879041715
deal,0.003490488902607918
month,0.003490488902607918
pay,0.003490488902607918
pere,0.003490488902607918
street,0.003490488902607918
whatever,0.003490488902607918
pace,0.003451269926174121
sometimes,0.003451269926174121
their,0.003451269926174121
coming,0.0034120509497403244
femme,0.0034120509497403244
matt,0.0034120509497403244
watch,0.0034120509497403244
marry,0.0033728319733065276
answer,0.0033336129968727308
certain,0.0033336129968727308
cool,0.0033336129968727308
door,0.0033336129968727308
easy,0.0033336129968727308
instant,0.0033336129968727308
murder,0.0033336129968727308
own,0.0033336129968727308
person,0.0033336129968727308
aucun,0.003294394020438934
dramatic,0.003294394020438934
mother,0.003294394020438934
shot,0.003294394020438934
tomorrow,0.003294394020438934
dr,0.003255175044005137
most,0.003255175044005137
trust,0.003255175044005137
both,0.0032159560675713403
end,0.0032159560675713403
myself,0.0032159560675713403
office,0.0032159560675713403
promise,0.0032159560675713403
reste,0.0032159560675713403
travail,0.0032159560675713403
until,0.0032159560675713403
monde,0.0031767370911375435
room,0.0031767370911375435
sortir,0.0031767370911375435
20,0.0031375181147037467
less,0.0031375181147037467
point,0.0031375181147037467
whole,0.0031375181147037467
wife,0.0031375181147037467
break,0.00309829913826995
close,0.00309829913826995
luck,0.00309829913826995
serious,0.00309829913826995
slow,0.00309829913826995
strange,0.00309829913826995
week,0.00309829913826995
already,0.003059080161836153
aux,0.003059080161836153
chez,0.003059080161836153
diner,0.003059080161836153
happy,0.003059080161836153
kevin,0.003059080161836153
petit,0.003059080161836153
truth,0.003059080161836153
voiture,0.003059080161836153
yours,0.003059080161836153
daughter,0.003019861185402356
feeling,0.003019861185402356
fire,0.003019861185402356
kate,0.003019861185402356
revoir,0.003019861185402356
victim,0.003019861185402356
card,0.0029806422089685594
coup,0.0029806422089685594
adam,0.0029414232325347626
moins,0.0029414232325347626
amie,0.0029022042561009658
cop,0.0029022042561009658
five,0.0029022042561009658
fun,0.0029022042561009658
mec,0.0029022042561009658
rock,0.0029022042561009658
hold,0.002862985279667169
nicole,0.002862985279667169
sort,0.002862985279667169
donne,0.002823766303233372
message,0.002823766303233372
stuff,0.002823766303233372
arriver,0.0027845473267995753
attendre,0.0027845473267995753
frere,0.0027845473267995753
partir,0.0027845473267995753
tue,0.0027845473267995753
wish,0.0027845473267995753
aren,0.0027453283503657785
crime,0.0027453283503657785
nom,0.0027453283503657785
pass,0.0027453283503657785
send,0.0027453283503657785
trouble,0.0027453283503657785
without,0.0027453283503657785
gun,0.0027061093739319817
number,0.0027061093739319817
tuer,0.0027061093739319817
accident,0.002666890397498185
boy,0.002666890397498185
drink,0.002666890397498185
finally,0.002666890397498185
win,0.002666890397498185
air,0.002627671421064388
deux,0.002627671421064388
docteur,0.002627671421064388
michelle,0.002627671421064388
rester,0.002627671421064388
test,0.002627671421064388
truc,0.002627671421064388
weird,0.002627671421064388
building,0.0025884524446305912
cote,0.0025884524446305912
derniere,0.0025884524446305912
ensemble,0.0025884524446305912
killer,0.0025884524446305912
lucky,0.0025884524446305912
reunion,0.0025884524446305912
book,0.002549233468196794
demain,0.002549233468196794
each,0.002549233468196794
gen,0.002549233468196794
nouveau,0.002549233468196794
perfect,0.002549233468196794
wonder,0.002549233468196794
word,0.002549233468196794
00,0.002510014491762997
interest,0.002510014491762997
nuit,0.002510014491762997
spend,0.002510014491762997
business,0.0024707955153292003
entre,0.0024707955153292003
funny,0.0024707955153292003
homme,0.0024707955153292003
lie,0.0024707955153292003
rebecca,0.0024707955153292003
chercher,0.0024315765388954035
chris,0.0024315765388954035
dinner,0.0024315765388954035
discuter,0.0024315765388954035
lexy,0.0024315765388954035
relive,0.0024315765388954035
suicide,0.0024315765388954035
uh,0.0024315765388954035
eye,0.0023923575624616067
laisser,0.0023923575624616067
matin,0.0023923575624616067
premiere,0.0023923575624616067
while,0.0023923575624616067
changer,0.00235313858602781
fate,0.00235313858602781
gin,0.00235313858602781
girlfriend,0.00235313858602781
invite,0.00235313858602781
nick,0.00235313858602781
soiree,0.00235313858602781
town,0.00235313858602781
ville,0.00235313858602781
walk,0.00235313858602781
couple,0.002313919609594013
genre,0.002313919609594013
hate,0.002313919609594013
honest,0.002313919609594013
means,0.002313919609594013
melissa,0.002313919609594013
note,0.002313919609594013
nouvelle,0.002313919609594013
open,0.002313919609594013
rendre,0.002313919609594013
vas,0.002313919609594013
apartment,0.0022747006331602163
gagner,0.0022747006331602163
glad,0.0022747006331602163
patient,0.0022747006331602163
rendezvous,0.0022747006331602163
retrouver,0.0022747006331602163
safe,0.0022747006331602163
track,0.0022747006331602163
victime,0.0022747006331602163
argent,0.0022354816567264194
bonjour,0.0022354816567264194
case,0.0022354816567264194
cell,0.0022354816567264194
drop,0.0022354816567264194
paige,0.0022354816567264194
taking,0.0022354816567264194
anniversaire,0.0021962626802926226
bullet,0.0021962626802926226
cours,0.0021962626802926226
damn,0.0021962626802926226
danger,0.0021962626802926226
dossier,0.0021962626802926226
file,0.0021962626802926226
free,0.0021962626802926226
grace,0.0021962626802926226
ii,0.0021962626802926226
perdu,0.0021962626802926226
rappeler,0.0021962626802926226
rentrer,0.0021962626802926226
shouldn,0.0021962626802926226
somebody,0.0021962626802926226
vite,0.0021962626802926226
ba,0.002157043703858826
bite,0.002157043703858826
buy,0.002157043703858826
commence,0.002157043703858826
content,0.002157043703858826
explain,0.002157043703858826
weekend,0.002157043703858826
aura,0.002117824727425029
donner,0.002117824727425029
fete,0.002117824727425029
idee,0.002117824727425029
mine,0.002117824727425029
possible,0.002117824727425029
