Mot,Poids
be,0.3980289114499016
you,0.3265934936571278
le,0.29306208193527905
être,0.24098399193504505
je,0.24045584149400492
de,0.19645968149852425
un,0.195010338427763
the,0.1740439941753103
to,0.1708382438238808
ne,0.14844712163745946
que,0.14777158037566396
tu,0.14482376396055638
pa,0.14215844661856328
it,0.14011954026478052
that,0.113097889792961
ce,0.10984300916794637
and,0.10908148992737692
eat,0.10502824235660399
on,0.10072934341790542
il,0.09719196371977633
vous,0.09688489950986928
have,0.0935317583376844
oh,0.09254915286598188
ca,0.07449377732344792
do,0.07376910578806731
faire,0.07278650031636477
this,0.07180389484466225
of,0.0716319388871143
what,0.07063705084701549
we,0.06917542520785798
pour,0.06859814449323275
en,0.06582228403567311
avoir,0.06577315376208798
my,0.06400446391302343
he,0.06374652997670152
aller,0.06341490063000191
betty,0.0632920749460391
in,0.0629604455993395
son,0.06266566395782874
know,0.0611549080450861
no,0.058722959502622345
get,0.05778948430450494
qu,0.05700339992714292
for,0.05634014123374371
just,0.05378536700731714
daniel,0.05137798360164594
pouvoir,0.051279723054475694
so,0.050297117582773165
your,0.050162009330414065
don,0.04645267367473702
savoir,0.0459982186440746
not,0.04483137464642785
tout,0.04445061502614312
can,0.04301355452377817
as,0.04284159856623023
okay,0.04161334172660207
vouloir,0.04091323532801402
non,0.04047106286574788
with,0.0404587802973516
but,0.04022541149782225
mais,0.03980780417234867
moi,0.03886204640583499
bien,0.03883748126904243
elle,0.03801454918649156
yes,0.037609224429414265
go,0.03740042076667748
well,0.0364546630001638
she,0.036135316221860475
mon,0.0359879254011051
will,0.035361514412894736
si,0.034391191509588484
qui,0.03381391079496325
avec,0.033777063089774406
like,0.03365423740581159
ton,0.031725874167595376
about,0.031701309030802816
etre,0.030988920063818485
dans,0.030841529243063104
all,0.02963783754022751
want,0.02919566507796137
du,0.029072839393998552
here,0.02904827425720599
they,0.028311320153429093
good,0.0274392577972931
plus,0.026874259651064148
her,0.026616325714742234
quoi,0.02654263030436454
right,0.02635839177842032
look,0.026223283526061222
at,0.02621100095766494
there,0.026174153252476094
out,0.025228395485962413
sur,0.025068722096810752
up,0.024319485424637573
dire,0.024307202856241293
if,0.024135246898693348
au,0.02400013864633425
gonna,0.02384046525718259
think,0.023336879952935045
devoir,0.02328774967934992
uh,0.023189489132179667
say,0.023029815743028006
voir,0.02284557721708378
one,0.022587643280761866
really,0.022268296502458547
etait,0.02221916622887342
toi,0.02214547081849573
nous,0.022034927702929197
mode,0.021433081851511396
see,0.02140851671471883
vraiment,0.021101452504811793
make,0.020646997474149373
now,0.0202293901486758
choose,0.020192542443486956
how,0.020143412169901828
come,0.020131129601505548
penser,0.019983738780750167
ou,0.01986091309678735
meade,0.019295914950558397
mama,0.019050263582632766
est,0.01885374248829226
juste,0.018816894783103416
hey,0.01838700488923356
tell,0.018055375542533957
comme,0.017981680132156265
need,0.01778515903781576
wilhelmina,0.017576355375078973
who,0.017048204934038864
lui,0.016986792092057456
alors,0.016925379250076047
marc,0.016728858155735542
why,0.01661831504016901
oui,0.016507771924602475
dit,0.016360381103847094
se,0.016114729735921464
time,0.015512883884503665
thank,0.015426905905729692
venir,0.015328645358559441
ouais,0.015132124264218935
thing,0.015082993990633809
pourquoi,0.0150215811486524
ici,0.015009298580256118
back,0.014898755464689583
work,0.014812777485915612
could,0.014739082075537924
take,0.014628538959971389
um,0.01440745272883832
from,0.014321474750064348
merci,0.014284627044875504
sorry,0.01424777933968666
aimer,0.014161801360912689
quelque,0.014063540813742436
mean,0.014002127971761027
would,0.013928432561383337
didn,0.013609085783080016
let,0.01349854266751348
when,0.013277456436380413
love,0.013252891299587849
croire,0.013142348184021315
his,0.013056370205247343
something,0.013056370205247343
magazine,0.012896696816095683
some,0.012601915174584925
hilda,0.012589632606188643
little,0.01257735003779236
call,0.012307133533074166
quand,0.012172025280715069
prendre,0.01203691702835597
rien,0.012000069323167125
new,0.011693005113260086
hello,0.01165615740807124
tres,0.011484201450523299
henry,0.011447353745334454
or,0.011435071176938172
comment,0.011287680356182793
god,0.011263115219390229
autre,0.011078876693446005
meme,0.010992898714672034
bon,0.010968333577879472
ugly,0.010943768441086908
because,0.010894638167501781
jamais,0.010894638167501781
parler,0.010894638167501781
give,0.010673551936368713
way,0.01064898679957615
amanda,0.010599856525991023
too,0.010526161115613334
maybe,0.010366487726461673
peut,0.01026822717929142
never,0.010243662042498857
peu,0.010243662042498857
besoin,0.010133118926932323
wait,0.009985728106176943
trouver,0.00996116296938438
then,0.00988746755900669
maintenant,0.009850619853817846
ok,0.009813772148629
our,0.00980148958023272
dieu,0.009789207011836438
sure,0.009776924443440155
parce,0.009678663896269903
doing,0.009568120780703368
try,0.009506707938721961
aussi,0.009359317117966582
team,0.009359317117966582
etes,0.009285621707588891
matt,0.009285621707588891
toujours,0.009285621707588891
guy,0.009211926297211202
falloir,0.009162796023626076
talk,0.009162796023626076
where,0.00911366575004095
temp,0.008978557497681852
should,0.00896627492928557
eh,0.008904862087304162
meet,0.008855731813719035
over,0.008831166676926473
even,0.00881888410853019
great,0.008806601540133909
par,0.008806601540133909
pere,0.008806601540133909
quelqu,0.008806601540133909
justin,0.008794318971737627
more,0.00873290612975622
off,0.008524102467019432
passe,0.00835214650947149
