Mot,Poids
le,0.4016094779370182
be,0.34712319321990004
un,0.2601525633655197
you,0.25731898023781097
être,0.2524296603311763
de,0.23833582529727862
je,0.21540787815934787
the,0.20412910610199744
tu,0.1550321853728743
que,0.15260604557071847
to,0.1465129158385866
ne,0.13245612110701194
pa,0.13210423823494355
il,0.12915953420026585
it,0.11258399891072786
on,0.11217655558517498
ce,0.1091207306435283
eat,0.10725019537621731
vous,0.09493429485382317
that,0.09317488049348115
and,0.08798923816826255
son,0.08595202154049811
avoir,0.08535937670333027
of,0.07735867140156445
faire,0.07730311094807996
have,0.07552517643657644
ca,0.07339535905300452
he,0.07196930741356941
en,0.07178410590195446
pour,0.07033953411135786
qu,0.06741335022784166
in,0.06304259455372885
do,0.06093129732131842
aller,0.054986328798478534
what,0.05456036532176415
this,0.05309727338000605
my,0.051634181438247946
get,0.05139341947314851
we,0.04968956556629098
pouvoir,0.04870799755473174
for,0.0481338728687254
know,0.04805979226407942
qui,0.047467147426911584
du,0.046874502589743745
your,0.04683746228742075
elle,0.04678190183393627
as,0.0455410517061161
savoir,0.04324455296209073
tout,0.04318899250860624
dans,0.042559307369115416
si,0.04167034011336366
veronica,0.0411332557296803
vouloir,0.04061469149715845
mais,0.03850339426474802
so,0.03846635396242503
moi,0.037947789729903175
ton,0.037947789729903175
sur,0.037281064288089354
just,0.037188463532281876
avec,0.03376223556740531
mon,0.03374371541624382
with,0.03353999375346737
voir,0.03333627209069093
bien,0.03268806680003861
don,0.032169502567516745
can,0.0315953778815104
etait,0.03153981742802592
ou,0.03148425697454143
no,0.031465736823379935
but,0.030224886695559772
she,0.030039685183944825
plus,0.029743362765360905
au,0.02972484261419941
like,0.02953964110258446
will,0.029502600800261472
they,0.029076637323547087
out,0.02905811717238559
etre,0.02818767006779533
all,0.02807654916082636
not,0.027743186439919448
if,0.027280182660882075
yes,0.026891259486490682
oh,0.026502336312099285
about,0.026206013893515366
non,0.025668929509832013
up,0.025039244370341183
there,0.024631801044788296
go,0.024409559230850357
at,0.024372518928527365
dire,0.023928035300651487
want,0.02318722925419169
devoir,0.022946467289092255
her,0.022946467289092255
see,0.02259458441702385
here,0.02222418139379395
lui,0.022205661242632457
toi,0.02218714109147096
est,0.021724137312433587
one,0.0213166939868807
mama,0.021001851417135283
think,0.02083517005668183
se,0.02061292824274389
comme,0.020594408091582396
say,0.020594408091582396
dit,0.02053884763809791
who,0.019575799777700173
right,0.019038715394016817
quoi,0.019020195242855323
mar,0.01885351388240187
good,0.018742392975432898
nous,0.018742392975432898
oui,0.01848311085917197
penser,0.018205308591749545
his,0.01814974813826506
how,0.01755710330109722
well,0.01748302269645124
hey,0.017205220429028816
look,0.01694593831276789
choose,0.016927418161606395
time,0.016890377859283403
now,0.016557015138376492
prendre,0.016482934533730512
alors,0.016445894231407524
come,0.01635329347560005
make,0.01627921287095407
tell,0.016149571812823605
croire,0.016001410603531645
ici,0.015464326219848291
venir,0.015316165010556331
pourquoi,0.015297644859394836
quand,0.015297644859394836
trouver,0.015149483650102876
from,0.014742040324549987
when,0.014260516394351119
fille,0.014186435789705139
logan,0.014130875336220655
quelque,0.013945673824605704
guy,0.01389011337112122
ete,0.01377899246415225
autre,0.01374195216182926
par,0.01355675065021431
vraiment,0.01351971034789132
take,0.013408589440922351
rien,0.013390069289760855
okay,0.013130787173499926
didn,0.012964105813046472
or,0.012945585661884976
need,0.012778904301431523
gonna,0.012686303545624047
bon,0.012612222940978067
why,0.012575182638655077
juste,0.012501102034009098
some,0.012445541580524612
would,0.012352940824717138
comment,0.012223299766586673
let,0.012149219161940693
call,0.012112178859617703
back,0.012093658708456209
really,0.012075138557294713
pere,0.011926977348002753
dad,0.0117602959875493
thing,0.01157509447593435
something,0.011223211603865945
aimer,0.011204691452704451
man,0.011149130999219966
meme,0.01079724812715156
merci,0.01076020782482857
quelqu,0.01076020782482857
where,0.010463885406244652
ouais,0.010408324952760168
friend,0.010334244348114188
salut,0.010297204045791198
could,0.010278683894629702
sure,0.010278683894629702
neptune,0.010130522685337743
falloir,0.010093482383014753
parler,0.010000881627207279
peut,0.009963841324884289
girl,0.009741599510946348
off,0.009574918150492894
use,0.009519357697008408
deux,0.009408236790039439
night,0.0091859949761015
peu,0.0091859949761015
tres,0.0091859949761015
keith,0.009093394220294026
question,0.009019313615648046
donc,0.008982273313325056
thank,0.008982273313325056
wallace,0.008908192708679076
etais,0.00888967255751758
passe,0.00885263225519459
work,0.0088155919528716
kane,0.00877855165054861
should,0.008519269534287681
little,0.008500749383126187
uh,0.008500749383126187
by,0.008445188929641701
lilly,0.008426668778480207
day,0.008389628476157217
mean,0.008371108324995722
apres,0.008352588173834226
appeler,0.008297027720349742
temp,0.008278507569188246
find,0.008185906813380772
