Mot,Poids
be,0.3655556528083989
le,0.34688631526994085
you,0.3256170532085096
être,0.2640959476287585
un,0.2354341290923673
de,0.2317065264630443
je,0.22105623323640713
the,0.1816188239060066
to,0.15167270530405036
tu,0.1459403415967721
pa,0.14337174146564197
it,0.12623729912749337
que,0.12348075264530493
on,0.11784236211355585
eat,0.11320635212078438
ne,0.11176543009600406
and,0.10587644442951058
ce,0.10562584929476616
il,0.10164765153069875
that,0.09820196842796321
vous,0.09065278999378805
faire,0.08648664587866234
have,0.07893746744448717
aller,0.07859289913421362
ca,0.07527251359885027
in,0.07508456724779197
en,0.07301715738615064
we,0.07204610123901607
do,0.07073047678160795
of,0.07013531333659
my,0.06769201077283206
what,0.06587519604593513
get,0.06584387165409208
son,0.06509208624985886
this,0.06211626902476907
he,0.06170905193080942
pour,0.060236805514186045
your,0.05986091281206944
qu,0.058889856664934875
avoir,0.05660317606039219
no,0.05550682234588542
for,0.052155112418679025
not,0.04720585850747705
pouvoir,0.04639142431955774
ton,0.04435533884975946
tout,0.043916797363956754
dans,0.043885472972113704
as,0.0435722290536832
moi,0.04329030952709574
go,0.04297706560866524
don,0.04184938750231542
vouloir,0.04100362892255306
elle,0.04056508743675035
with,0.039907275208046294
know,0.03959403128961579
qui,0.03959403128961579
will,0.03953138250592969
can,0.03805913608930631
mon,0.03674351163189819
just,0.035991726227664986
so,0.03570980670107753
oh,0.03492669690500127
she,0.03480139933762907
fuck,0.03423756028445416
bien,0.0340809383252389
non,0.0339556407578667
avec,0.0338929919741806
like,0.03301590900257519
du,0.03295326021888909
here,0.03257736751677248
si,0.03251471873308638
savoir,0.031418365018579614
all,0.03094849914093386
they,0.03094849914093386
yes,0.030071416169328447
out,0.02957022589983964
up,0.029319630765095236
mais,0.02913168441403693
ou,0.028787116103763378
there,0.02778473556478576
plus,0.02765943799741356
quoi,0.027346194078983057
want,0.027252220903453906
gonna,0.026782355025808148
sur,0.026657057458435947
mama,0.026563084282906796
toi,0.02643778671553459
devoir,0.026124542797104088
etre,0.02577997448683053
but,0.02574865009498748
est,0.02565467691945833
good,0.02487156712338207
right,0.024652296380480717
about,0.024464350029422415
au,0.023963159759933607
now,0.02286680604542684
her,0.022553562126996336
how,0.022553562126996336
at,0.021770452330920072
voir,0.02170780354723397
if,0.021331910845117368
say,0.02098734253484381
okay,0.02039217908982585
nancy,0.020047610779552298
think,0.019984961995866198
make,0.019953637604023147
need,0.01967171807743569
take,0.01967171807743569
dire,0.019264500983476037
one,0.01891993267320248
se,0.01885728388951638
look,0.018512715579242826
etait,0.018011525309754018
come,0.017948876526067917
comme,0.017823578958695716
see,0.01754165943210826
oui,0.01747901064842216
prendre,0.017259739905520807
who,0.017197091121834707
nous,0.017165766729991656
shane,0.017165766729991656
back,0.01697782037893335
alors,0.0168211984197181
shit,0.016633252068659798
ici,0.016539278893130647
aimer,0.01635133254207234
well,0.01622603497470014
let,0.01619471058285709
ok,0.01616338619101404
lui,0.01606941301548489
tell,0.015912791056269637
andy,0.015881466664426587
some,0.015881466664426587
why,0.01484776173360592
celia,0.014565842207018466
or,0.014534517815175415
merde,0.014440544639646264
pourquoi,0.014440544639646264
time,0.014283922680431013
vraiment,0.01422127389674491
choose,0.013908029978314407
penser,0.013908029978314407
where,0.013814056802785255
dit,0.013751408019099154
putain,0.013594786059883903
silas,0.013594786059883903
man,0.01350081288435475
hey,0.0134068397088256
really,0.0134068397088256
rien,0.013375515316982549
from,0.013344190925139499
quand,0.013250217749610348
venir,0.013187568965924245
love,0.013093595790395094
juste,0.013062271398552044
ouais,0.012686378696435439
comment,0.012561081129063236
give,0.012561081129063236
thing,0.012529756737220185
when,0.012498432345377135
bon,0.012467107953534085
doug,0.012435783561691035
maintenant,0.012435783561691035
tres,0.012341810386161884
wee,0.01205989085957443
par,0.012028566467731379
his,0.011777971332986975
little,0.011652673765614774
mom,0.01140207863087037
thank,0.011370754239027319
besoin,0.011088834712439865
would,0.011026185928753764
then,0.010932212753224613
call,0.01077559079400936
merci,0.010681617618480209
could,0.010587644442951058
business,0.010556320051108008
house,0.010556320051108008
mere,0.010399698091892754
off,0.010399698091892754
too,0.010274400524520553
autre,0.0101804273489914
falloir,0.0101804273489914
should,0.009992480997933099
quelque,0.009961156606090048
aussi,0.009929832214246998
down,0.009867183430560896
maison,0.009804534646874795
croire,0.009679237079502594
meme,0.009553939512130393
sure,0.00949129072844429
petit,0.00945996633660124
sorry,0.00942864194475819
our,0.00939731755291514
botwin,0.009178046810013786
parce,0.009178046810013786
guy,0.009146722418170735
work,0.009146722418170735
dis,0.008990100458955484
etes,0.008990100458955484
jamais,0.008958776067112434
more,0.008958776067112434
peu,0.00877082971605413
people,0.008614207756838878
something,0.008582883364995828
doing,0.008551558973152778
way,0.008551558973152778
by,0.008520234581309726
maman,0.008520234581309726
argent,0.008488910189466676
over,0.008488910189466676
dieu,0.008426261405780575
fine,0.008394937013937525
temp,0.008394937013937525
parler,0.008363612622094474
didn,0.008332288230251424
hello,0.008300963838408374
money,0.008300963838408374
fois,0.008269639446565323
grand,0.008238315054722273
