Mot,Poids
be,0.38054501680544134
le,0.34479774876829217
you,0.2536966778702942
un,0.23815008207574456
the,0.23151554756469472
de,0.22646537950404483
être,0.21606797467329508
to,0.17665685921959598
je,0.175468584381796
il,0.14645487375884667
ne,0.1443753927926967
pa,0.13952327053834682
on,0.13348287344619697
he,0.1262542015162471
it,0.12051087313354725
que,0.12021380442409726
vous,0.11694604862014733
that,0.11486656765399739
and,0.11110369733429747
eat,0.10981639959334749
son,0.10793496443349754
avoir,0.1008053154066977
have,0.09595319315234781
ce,0.09397273508934786
of,0.08644699444994804
in,0.08555578832159805
we,0.08208998671134812
tu,0.08139682638929814
pour,0.0749603376845483
en,0.07070235284909838
ca,0.06961310091444842
qu,0.06396879543489854
do,0.06307758930654857
this,0.06188931446874859
faire,0.05921569608369865
elle,0.05872058156794866
get,0.05792839834274868
she,0.05466064253879875
know,0.054561619635648755
what,0.05327432189469879
aller,0.05228409286319881
for,0.05149190963799883
no,0.05030363480019885
not,0.04871926834979889
her,0.0483231767371989
my,0.048026108027748905
etait,0.04436226061119899
they,0.04337203157969901
pouvoir,0.04307496287024902
your,0.042282779645049035
with,0.04168864222614905
dans,0.04158961932299905
tout,0.041292550613549056
du,0.04079743609779907
savoir,0.04050036738834908
sur,0.039312092550549106
vouloir,0.03861893222849912
so,0.03851990932534912
don,0.03644042835919917
qui,0.03614335964974918
but,0.0351531306182492
mais,0.0350541077150992
about,0.034558993199349214
si,0.03376680997414923
just,0.03366778707099923
go,0.03337071836154924
his,0.032380489330049264
avec,0.032182443523749264
can,0.03148928320169928
will,0.03148928320169928
yes,0.03119221449224929
non,0.030994168685949293
at,0.0306970999764993
moi,0.030598077073349304
all,0.029904916751299318
as,0.029904916751299318
want,0.02950882513869933
out,0.02940980223554933
if,0.029211756429249336
etre,0.028815664816649343
voir,0.028716641913499347
au,0.028320550300899354
oh,0.02802348159144936
uh,0.027627389978849372
lui,0.027528367075699372
there,0.027429344172549375
like,0.02673618385049939
okay,0.026637160947349393
mon,0.026538138044199393
