Mot,Poids
be,0.43537875410999655
you,0.31471175099773485
the,0.30769031337446556
le,0.2721489374192245
to,0.2279610207865653
un,0.18309080897850008
être,0.17525061714474358
it,0.1627832234850517
de,0.1594337744421494
that,0.1485542677361297
vous,0.13897732454679426
he,0.1284947895791926
je,0.12512052980263919
on,0.12081586751416845
have,0.11570485638203606
of,0.11339745815248115
ne,0.11223135367087812
il,0.110271305712439
what,0.10792669138240739
this,0.10761655721176829
in,0.10543321265046901
and,0.10424229743521486
we,0.09512435281842527
pa,0.09444205764301924
que,0.090038152419944
ce,0.08760670052213344
do,0.07929510474900552
son,0.07739708362469422
avoir,0.06866370537949712
mulder,0.06582287637644295
they,0.06564920124088505
eat,0.06330458691085344
know,0.06140656578654213
get,0.060885540379868444
no,0.056556067357746584
for,0.05602263658424733
en,0.05576212388091049
qu,0.05307015927976308
here,0.050080465874802145
agent,0.049447792166698375
ca,0.04905082042828032
not,0.04866625405668784
there,0.048529795021606634
your,0.048256876951444226
don,0.047524960308735945
can,0.04705355636936451
tu,0.04690469196745774
but,0.045887451887761485
scully,0.04424994346678703
faire,0.04358005365820657
my,0.04335675705534642
go,0.043145865819311825
with,0.04268686724676596
will,0.04196735597088324
qui,0.04128506079547722
pour,0.03830777275734184
all,0.03808447615448169
man,0.038010043953528305
just,0.03735255951177341
du,0.03698039850700648
as,0.03665785896954182
see,0.0354917544879388
aller,0.03473502711157939
out,0.03380462459966208
about,0.03332081529346509
yes,0.03229116984694327
his,0.031311145867723704
pouvoir,0.031162281465816937
at,0.031087849264863555
dans,0.030901768762480093
say,0.030777715094224452
mais,0.03074049899374776
tout,0.030492391657236478
she,0.030207068220248504
who,0.030145041386120685
right,0.029326287175633455
think,0.02915261204007556
like,0.028743234934831944
savoir,0.02793688609117028
if,0.027763210955612384
from,0.027738400221961255
moi,0.027242185548938692
ou,0.027204969448462
how,0.02714294261433418
her,0.026907240644648462
nous,0.02687002454417177
look,0.02674597087591613
come,0.026696349408613873
up,0.026671538674962747
tell,0.02662191720766049
voir,0.02655989037353267
one,0.02637380987114921
want,0.026113297167812362
so,0.02567910932891762
elle,0.025145678555418365
why,0.023061576928723602
now,0.02283828032586345
si,0.02281346959221232
sur,0.022763848124910065
where,0.02268941592395668
vouloir,0.022205606617759683
well,0.0219574992812484
au,0.021535716809179224
etait,0.02132482557314463
or,0.02082861090012207
etre,0.02065493576456417
make,0.02012150499106492
take,0.019687317152170175
non,0.018955400509461897
by,0.018670077072473923
something,0.017863728228812256
would,0.01769005309325436
some,0.017491567224045337
let,0.016933325716894952
plus,0.01680927204863931
mon,0.016784461314988185
good,0.01658597544577916
could,0.016573570078953596
oh,0.01649913787800021
quoi,0.016412300310221263
lui,0.01637508420974457
est,0.01604013930545434
back,0.015953301737675393
avec,0.015581140732908469
dire,0.015531519265606213
kill,0.015469492431478393
down,0.01537024949687388
time,0.015208979728141548
se,0.015072520693060342
croire,0.014898845557502446
need,0.014824413356549061
call,0.014712765055118985
bien,0.01470035968829342
when,0.01470035968829342
choose,0.014650738220991165
ici,0.01457630602003778
par,0.014563900653212216
gonna,0.013794767910027244
any,0.013769957176376116
believe,0.013658308874946038
venir,0.013658308874946038
rien,0.01350944447303927
pourquoi,0.013348174704306937
then,0.013261337136527988
didn,0.013224121036051296
work,0.013186904935574605
thing,0.013137283468272348
ete,0.013062851267318964
dit,0.013013229800016707
ii,0.012988419066365579
comme,0.012976013699540014
uh,0.012926392232237759
homme,0.012827149297633246
trouver,0.012802338563982118
happen,0.012789933197156555
only,0.012330934624610683
comment,0.012132448755401658
etes,0.01210763802175053
our,0.012095232654924966
find,0.012033205820797145
way,0.011809909217936992
oui,0.011698260916506916
found,0.011685855549681353
dr,0.011673450182855788
okay,0.011599017981902403
help,0.011561801881425712
mean,0.011549396514600147
over,0.011338505278565558
